Event,Date,Location,Casualties,Cause,Building Description,Circumstances,Historical Significance,Suspect,trigger
Blue Bird Café fire,"September 1, 1972","Montreal, Quebec, Canada",37 dead,Arson,"Nightclub fire resulting in 37 fatalities, worst nightclub fire in Canadian history, located on Union Street between Ste-Catherine Ouest and Dorchester, known for music, dancing, and drinking","Three young men set fire on the staircase after being refused entry, fire spread rapidly, primary escape route blocked, patrons sought alternative exits, panic ensued, significant loss of life",,,Blue Bird Caf茅 fire
Club Cinq-Sept fire,"November 1, 1970","Saint-Laurent-du-Pont, Isère, France",146 dead,Carelessly discarded match,"Nightclub fire resulting in 146 fatalities, primarily young victims aged 17-30, located 1.5 miles from Saint-Laurent-du-Pont, newly constructed windowless structure with breeze block walls and corrugated iron roof, main entrance via spiked turnstile","Fire caused by a discarded match igniting a foam-filled seat cushion, rapid spread fueled by flammable décor and furnishings, popular venue drawing crowds from surrounding areas, live performance by Les Storms, criminal charges brought against individuals for fire safety oversights","Tragic loss of 146 lives, criminal charges, significant impact on fire safety regulations.",,Club Cinq-Sept fire
Cocoanut Grove fire,"November 28, 1942","Boston, Massachusetts, United States",492 dead,Electrical short in air conditioning unit,"Popular nightclub owned by Barney Welansky, flouted fire regulations, locked exit doors, flammable palm tree décor, air conditioning used flammable gas, filled beyond legal capacity, electrical short caused fire, people trapped due to locked doors",Barney Welansky,,"Second-deadliest single-building fire in U.S. history, violation of standards, jail sentence, new fire-safety laws enacted, advancements in treatment of burn victims, impact on emergency preparedness and blood banks",Cocoanut Grove fire
Denmark Place fire,"August 16, 1980","Central London, UK",37 dead,Arson,"Unlicensed bars fire resulting in 37 fatalities, majority Spanish and Latin American victims, two bars - The Spanish Rooms and Rodo's, access through locked doors and fire escape, planned police shutdown, farewell party on the night of the fire","Arson committed by John Thompson due to a dispute over drink pricing, locked doors and boarded windows obstructed escape, police aware of unlicensed bars and planning shutdown, tragic loss of lives from various nationalities",,John Thompson,Denmark Place fire
Formosa Fun Coast dust fire,"June 27, 2015","Bali, New Taipei City, Taiwan","15 dead, 199 critical",Ignition of corn starch clouds,"Water park dust fire resulting in 15 fatalities and 199 critically injured, caused by ignition of corn starch clouds sprayed during a ""colour powder party"", participants running and staff using fire extinguishers dispersed burning corn starch into multiple dust clouds","Misreported as an explosion, inspired by Hindu festival ""Holi"", first Taiwanese colour party in 2013, warning of dust explosion risk in 2013, party held at Formosa Fun Coast water park, participants dancing on stage and in drained pool, colored corn starch powder deployed during festivities",,,Formosa Fun Coast explosion
Happy Land fire,"March 25, 1990","Bronx, New York, USA",87 dead,Arson,"Unlicensed social club fire, 87 fatalities, many young Hondurans celebrating Easter, building code violations, lack of fire safety measures","Victims trapped in the club, arson committed by Julio González, deadliest NYC fire since Triangle Shirtwaist Factory fire, González's troubled history","Deadliest NYC fire since 1911, deadliest in American territory since 1986, building code violations, lack of follow-up by fire department",Julio González,Happy Land fire
Ozone Disco fire,"March 18, 1996","Quezon City, Philippines",162 dead,Electrical malfunction,"Popular nightclub fire resulting in 162 fatalities, worst fire in Philippine history, among top 10 worst nightclub fires globally, located near 11th World Scout Jamboree Memorial Rotonda, opened in 1991, previously housed jazz club ""Birdland"", operated by Westwood Entertainment Company, Inc.","Fire broke out just before midnight, overcrowded with 350 patrons and 40 employees, approved for occupancy for only 35 people, majority of guests were students, sparks seen in DJ booth, smoke mistaken for party effects, electrical shutdown led to visible flames, bodies found blocking exit","Deadliest fire in Philippine history, improper emergency exit, exit locked by security guards, tragic loss of life",,Ozone Disco fire
Stardust fire,"February 14, 1981","Artane, Dublin, Ireland","48 dead, 214 injured",Electrical fault,"Nightclub fire resulting in 48 fatalities and 214 injuries, located in Artane, Dublin, Ireland, building initially a food factory converted into a nightclub, consisted of dance floor, stage, bars, seating alcoves, and tables, fire started in a storage room with flammable materials","Fire broke out during St. Valentine's eve disco event, patrons noticed fire in different locations, owners given Special Exemption Order for alcohol service, electrical fault in storage room led to fire outbreak","Fatal nightclub fire with significant casualties, electrical fault as the cause, inadequate fire safety measures, impact on nightclub safety regulations",,Stardust fire
Summerland disaster,"August 2, 1973","Douglas, Isle of Man, UK","50 dead, 80 injured",Carelessly discarded match,"Leisure center fire resulting in 50 fatalities and 80 injuries, compared to Blitz fires, opened in 1971, climate-controlled building with significant fire risks, designed for 10,000 tourists, Modernist architecture with Oroglas cladding","Fire started by boys smoking in a kiosk, spread to combustible wall material and acrylic sheeting, intense fire engulfed the building","Significant fire tragedy with casualties, architectural design flaws, and fire spread issues",,Summerland disaster
UpStairs Lounge arson attack,"June 24, 1973","New Orleans, Louisiana, USA",32 dead,Arson,"Arson attack at a gay bar resulting in 32 fatalities and 15 injuries, located on the second floor of a building at 604 Iberville Street, official cause listed as ""undetermined origin""","Suspect Roger Dale Nunez never charged, no evidence of overt homophobia, deadliest known attack on a gay club in U.S. history until 2016 Orlando nightclub shooting","Deadliest attack on a gay club in U.S. history, no charges brought against the suspect, significant impact on LGBTQ+ community awareness and safety protocols",Roger Dale Nunez,UpStairs Lounge arson attack
