Event,Start Date,Locations Affected,Casualties,Significant Impacts,Contributing Factors,End Date,Displaced People,Missing Persons,Houses Destroyed,Crops Inundated,Total Damages (Yuan),States Affected,Estimated Damages,Evacuees,Injured Individuals,trigger
2000 India-Bangladesh Floods,2000,"West Bengal, Khulna Division, India-Bangladesh border districts",Not specified,"Excess water accumulation in Farakka Barrage, opening of lockgate barrage, flooding of rivers, displacement of residents","Heavy monsoon rains, Farakka Barrage opening, Jangari dam breakdown, sediment accumulation in rivers",N/A,,,,,,,,,,2000 India-Bangladesh floods
2000 Mozambique Flood,February 2000,"Mozambique, South Africa",800 deaths,"1400 km2 of arable land affected, 20,000 head of cattle and food lost, worst flood in 50 years, displacement of 220,000 people","Heavy rainfall, rivers exceeding banks, Cyclone Eline, worst natural disaster in a century",March 2000,,,,,,,,,,2000 Mozambique flood
2002 European Floods,August 2002,"Czech Republic, Italy, Spain, Austria, Germany, Slovakia, Hungary, Romania, Bulgaria, Croatia, Ukraine, Russia",232 deaths,"€27.7 billion in damage, once in a century magnitude, unprecedented flood heights, total economic damage exceeding 15 billion Euro","Intense rainfall, Genoa low pressure systems, warm moist air from the Mediterranean, possible El Niño effects",N/A,Not specified,Not specified,,,,,,,,2002 European floods
2002 Northern Chile Floods,Early June 2002,"North-central Chile, Los Molles",17 casualties,"12 direct deaths, 4 indirect deaths, 1 disappearance, 71 houses destroyed in Coquimbo, 347 houses destroyed in Valparaíso","Heavy rains, flash floods, mudflows",,,,,,,,,,,2002 Northern Chile floods and mudflow
2003 Santa Fe Floods,April 2003,"Santa Fe, Argentina",154 deaths,"28,000 houses damaged or destroyed, 30,000 km2 of farmland destroyed, dyke blown up, $1 billion in damages","Heavy rainfall, rising rivers, Salado River overflow, unusual flooding pattern, emergency aid packages",N/A,"100,000 evacuated",Not specified,,,,,,,,2003 Santa Fe flood
2004 Bihar Flood,N/A,"20 districts of Bihar - Bhagalpur, Begusarai, Katihar, Darbhanga, Samastipur, Khagaria",885 deaths,"Alarming rise in water levels, inundation of fresh areas, rivers flowing above red mark, Ganges crossing danger mark","Heavy rains, rise in water levels, multiple rivers overflowing, specific districts affected",N/A,,,,,,,,,,2004 Bihar flood
2005 Chennai Floods,N/A,"Chennai, India",50+ deaths,"Worst floods, North-East monsoon season, heavy rain, stampede incidents in relief camps causing casualties","Heavy rainfall, monsoon season, stampede incidents in relief camps",N/A,,,,,,,,,,2005 Chennai floods
2005 European Floods,August 2005,"Romania, Switzerland, Austria, Germany, Bulgaria, Portugal",62 deaths,"Widespread flooding, highest loss of life in Romania, significant damages to infrastructure and homes","Intense rainfall, powerful and widespread floods, worst flooding since 2002",N/A,Thousands evacuated,Not specified,,,,,,,,2005 European floods
2005 Hurricane Katrina,"August 29, 2005","New Orleans, Louisiana, St. Bernard Parish",Not specified,"Flooding in 80% of New Orleans, all of St. Bernard Parish, over 100,000 homes and businesses flooded","Inadequate design and construction by the Army Corps of Engineers, over 50 failures of levees and flood walls, storm surge breaches in 20 places on the Mississippi River-Gulf Outlet Canal",N/A,,,,,,,,,,2005 levee failures in Greater New Orleans
2006 Mid-Atlantic US Floods,June 2006,"Upstate New York, North Carolina, Delaware, Washington D.C.",16 deaths,"Widespread flooding, worst since Hurricane David in 1979, attributed to stalled jet stream, Bermuda High, tropical low off NC coast","Stalled jet stream, Bermuda High, tropical low off NC coast, constant stream of tropical moisture",Ongoing,,,,,,,,,,2006 Mid-Atlantic United States flood
