Event,Date,Location,Casualties,Responsible Party,Details,Aftermath,Suspects Charged,Organizations Involved,trigger
2006 Mumbai train bombings,11 July 2006,"Mumbai, Maharashtra, India","209 killed, 700+ injured",Lashkar-e-Taiba,"Series of seven bomb blasts on Mumbai Suburban Railway, pressure cooker bombs used, Western Line targeted, explosions during rush hour","High death toll, numerous injuries, Lashkar-e-Taiba suspected, attacks not linked to Srinagar grenade blasts",,,11 July 2006 Mumbai train bombings
Col des Nuages derailment,24 June 1953,French Indochina (Vietnam),Approximately 100 killed,Viet Minh rebels,"Passenger train derails through sabotaged viaduct at Col des Nuages, 100 killed, two locomotives and 18 cars crash into ravine","Incident occurred during First Indochina War, frequent attacks by Viet Minh rebels, explosive charge detonated at viaduct, ravine plunge",,,1953 Col des Nuages derailment
Vitry-Le-François train bombing,18 June 1961,"Near Vitry-le-François, France","28 fatalities, over 100 injured",Organisation armée secrète (OAS),"Bomb attack on Strasbourg–Paris train, deadliest terrorist attack in modern French history at the time, targeted No. 12 express train, derailed near Blacy, Marne, rails sabotaged with explosive device","Attack kept secret by French state, investigation findings, Communist Party leader demands inquiry",,,1961 Vitry-Le-Fran莽ois train bombing
1975 South Moluccan train hijacking,2 December 1975,"Wijster, Netherlands",3 hostages killed,South Moluccans,"Train hijacked by South Moluccans, 12-day standoff, 3 hostages killed, attackers demanded independent state, murders of hostages during standoff","Hijackers surrendered, convicted to 14-year sentences",,,1975 Dutch train hostage crisis
De Punt train hijacking,23 May 1977,"De Punt, Netherlands","2 hostages, 6 hijackers killed",Moluccan nationalists,"Train hijacked by 9 armed Moluccan nationalists, 50 hostages taken, hijacking lasted 20 days, ended with Dutch special forces raid","2 hostages and 6 hijackers killed in raid, simultaneous hostage situation at elementary school in Bovensmilde",,,1977 Dutch train hostage crisis
1977 Moscow bombings,8 January 1977,"Moscow, Russia","7 killed, 37 injured",Armenian nationalists,"Three bombings in Moscow, first on crowded train, second near KGB headquarters, third near Communist Party HQ","Three suspects executed, doubts on their guilt, Sakharov expressed concerns, no conclusive determination of perpetrators",,,1977 Moscow bombings
1991 Punjab killings,15 June 1991,"Ludhiana district, Punjab, India",At least 80-100 killed,Khalistani militants,"Khalistani militants stopped two trains near Ludhiana, opened fire on Hindu passengers, killing at least 80, attack occurred around 9:35 p.m.","Rescue team arrived at Badduwal station, survivors aided by local villagers, attacks followed national election violence and Rajiv Gandhi's assassination",,,1991 Punjab killings
1994 Baku Metro bombings,19 March 1994 & 3 July 1994,"Baku, Azerbaijan","Mar 19: 14 killed, 49 wounded; Jul 3: 13 killed, 42 injured",Sadval (Lezghin separatist movement),"Mar 19: Suicide bombing at ""20 January"" station; Jul 3: Bomb detonated between ""28 May"" and ""Ganjlik"" stations","Temporary suspension of Baku Metro, State Investigation Commission formed, Armenian intelligence officers arrested","Mar 19: 11 indirect perpetrators charged, 2 sentenced to life, 9 to 15 years; Jul 3: Lone perpetrator sentenced to life",Sadval (Lezghin separatist movement),1994 Baku Metro bombings
1995 Palo Verde derailment,"October 9, 1995","Palo Verde, Arizona","1 killed, 78 injured",Unknown saboteurs,"Amtrak's Sunset Limited derailed by saboteurs, 2 locomotives and 8 cars derailed, notes found at the scene, rails shifted to cause derailment","Increased security measures by Amtrak, rerouting of the Sunset Limited, saboteurs never identified",None,Unknown,1995 Palo Verde derailment
1995 France bombings,July-August 1995,"Paris and Lyon, France","8 killed, 190 injured",Armed Islamic Group of Algeria,"Series of attacks targeting public transport systems and a school, deadliest attack on July 25 in Saint-Michel station, gas bottle explosion, subsequent attacks in August, GIA claimed responsibility","Emergency response, casualties, confirmation of terrorist nature, deadliest attack in France since 1983, only deadly attack in GIA's 1995 campaign","Khaled Kelkal, Boualem Bensaïd",Armed Islamic Group of Algeria,1995 Paris Metro bombing
