Date,Location,Casualties,Cause,Impact,Injuries,Additional Information,Key Information,Locations,Causes/Suspected Causes,Government Response,Denial of Reports,Impact on Facilities,Alleged Involvement of Foreign Entities,Retaliation Vow,Specific Incidents,Official Explanation,Event,trigger
"July 18, 1806","Birgu, Malta",Approximately 200 killed,Gunpowder explosion due to negligence,"Destruction of fortifications, naval stores, houses",Not specified,"Historical context of gunpowder storage in Malta, previous gunpowder disasters in Malta, preparations for alternative storage sites, complaints from residents, purpose of gunpowder storage in casemates",,,,,,,,,,,,1806 Birgu polverista explosion
"March 1, 1924","Nixon, New Jersey","20 killed, 40 buildings destroyed",Explosion and fire at Nixon Nitration Works,"Explosion in building processing ammonium nitrate, fires in surrounding buildings, destruction of Nixon, New Jersey",-,"Nixon Nitration Works, Lewis Nixon, Raritan River, World War I, gunpowder production, cellulose nitrate, Ammonite Company, Columbia Storage Company, Charles A. Levine",,,,,,,,,,,,1924 Nixon Nitration Works disaster
"April 14, 1944","Bombay, British India","800-1,300 killed, 71 firemen lost their lives",SS Fort Stikine explosion,"British freighter SS Fort Stikine, cargo of cotton bales, gold, 1,400 tons of explosives, two giant blasts, sinking surrounding ships, setting fire to the area, Supermarine Spitfire fighter aircraft, raw cotton bales, barrels of oil, timber, scrap iron, £890,000 of gold bullion, Captain Alexander James Naismith, protest about cargo mixture, transportation of cotton, details about the cargo, aftermath of the explosion","80,000 homeless",,,,,,,,,,,,,1944 Bombay Explosion
"July 4, 1944","Aarhus, Denmark","39 killed, 250 injured",Ammunition barge explosion,"Explosion during WWII, barge loaded with ammunition, concerns raised about safety, impact on the city, aftermath of the explosion",-,"German occupation, transport hub for supplies to Norway, discussions about safety concerns, explosion details, widespread impact, aftermath of the event",,,,,,,,,,,,1944 explosion in Aarhus
"May 25, 1945","Edgewood Arsenal, Harford County, Maryland","12 killed, 50+ injured",Phosphorus igniter assembly explosion,"Building 509 explosion, munitions workers, female staff, African-American workers, incendiary bombs, production facility, assembly process, initial blast, demographics of casualties",-,,,,,,,,,,,,,1945 Edgewood Arsenal explosion
"May 25, 1950","Chicago, Illinois, United States","34 killed, 50 injured",Streetcar collided with gasoline truck,"Deadliest public transit disaster in Chicago, collision details, intersection, time, motorman's negligence, switch maneuver, gasoline truck jackknifed, casualties, survivors, passengers' actions, key individuals involved",Over 100 made homeless,,,,,,,,,,,,,1950 Chicago streetcar crash
"October 31, 1963","Indianapolis, Indiana, United States","81 killed, about 400 injured",Gas explosion at Indiana State Fairgrounds Coliseum,"One of the worst disasters in Indianapolis and Indiana, Holiday on Ice performance, leaking liquefied petroleum gas, electrical heating element contact, major explosion, damage to stands, second blast, emergency response, discovery of gas tanks, legal actions, settlements, reopening of the arena",-,"Over 4,000 people present, evacuation during initial blast, second blast during evacuation, firefighters' discovery of tanks, testing revealing cause, grand jury indictments, charges dropped or overturned, Disaster Research Center study, reopening after six weeks",,,,,,,,,,,,1963 Indiana State Fairgrounds Coliseum gas explosion
"April 28, 1973","Roseville, California","No fatalities, 48 injured",Explosion and fire at Southern Pacific railroad yard,"Shipment of munitions for Vietnam War, explosions heard up to 40 miles away, small fire in box car, overheated brakes, military-owned box car, high explosive aircraft ammunition, train route, investigation findings",-,,,,,,,,,,,,,1973 Roseville Yard Disaster
"September 18-19, 1980","Damascus, Arkansas, USA","0 deaths, 1 injured",Titan II missile fuel explosion,"Liquid fuel explosion in Titan II ICBM silo, 9 megaton W-53 Nuclear Warhead, Missile Complex 374-7, Bradley Township, Van Buren County, Strategic Air Command facility, 308th Strategic Missile Wing, 374th Strategic Missile Squadron, fuel leak, explosion time, events leading to explosion, workers involved, wrench incident",1,,,,,,,,,,,,,1980 Damascus Titan missile explosion
"July 5, 1990","Channelview, Texas","17 killed, 5 injured",ARCO Chemical plant explosion,"Deadliest industrial disaster in Greater Houston area, compressor restart, wastewater storage tank explosion, oxygen analyzer malfunction, OSHA fine, safety changes at ACC plants",-,"Phillips disaster of 1989, Houston Ship Channel industrial area, methyl tert-butyl ether production, hydrocarbon wastewater, nitrogen sweep system, explosion aftermath, facility destruction",,,,,,,,,,,,1990 ARCO explosion
"April 22, 1992","Guadalajara, Jalisco, Mexico","Approximately 252 killed, 500-600 missing, 500 injured, 15,000 homeless",Gasoline explosions in sewer system,"Destruction of 8 km of streets, Gante Street most damaged, estimated monetary damage $300 million-$3 billion",-,"Lloyd's of London report, residents complaints of gas-like smell, symptoms experienced, gasoline in water pipes, city workers findings, lack of evacuation, timeline of events, modern architecture in affected areas",,,,,,,,,,,,1992 Guadalajara explosions
"August 1-5, 1994","Huanjiang county, Guangxi, China","77 deaths, 230+ injured",Dynamite explosion at Kenpeng mine,"8 tonnes of dynamite exploded, warehouse blast, workers' dormitory flattened, government officials mobilized, health and safety standards violation, rescue efforts, investigation details, financial assistance issues",-,,,,,,,,,,,,,1994 Kenpeng mine disaster
"October 18, 1998","Jesse, Nigeria","1,082 deaths",Pipeline explosion,"Most deadly pipeline explosion in Nigeria, debated cause, Nigerian National Petroleum Corporation, firefighting efforts, government response, aftermath",-,"Scavengers' role, maintenance neglect, cigarette ignition, location in Niger Delta, pipeline ownership, link between Warri and Kaduna, firefighting company from the United States, President's visit, rising death toll, victims' identification challenges, mass burials",,,,,,,,,,,,1998 Jesse pipeline explosion
"January 27, 2002","Lagos, Nigeria","At least 1,100 killed, over 20,000 displaced",Accidental detonation of high explosives at military storage facility,"Fires burning down a large section of Northern Lagos, panic spreading to other areas, people stumbling into concealed canal and drowning, government enquiry blaming Nigerian Army, failure to maintain or decommission base, Ikeja Cantonment as storage area for high calibre bombs, fire starting in street market, explosion destroying nearby streets, collapsing buildings, starting fires, powerful tremors felt over 50 km inland",Many thousands injured or homeless,,,,,,,,,,,,,2002 Lagos armoury explosion
"April 24, 2003","Etobicoke, Toronto, Ontario","7 killed, 4 injured","Backhoe breach of gas pipeline, resulting in explosion","Destruction of two-story building, Enbridge contractor involvement, fines imposed, memorial garden dedication",-,"Precision Utility contractor, pipeline breach details, explosion aftermath, fire damage, rescue efforts, impact on nearby buildings",,,,,,,,,,,,2003 Etobicoke gas explosion
"March 16, 2004","Arkhangelsk, Russia",58 killed,Apartment building explosion,"Corner section of nine-story building destroyed, explosion time, location, death toll, perpetrator arrested and sentenced",-,"Vladimir Putin's reelection, previous suicide bombing in Moscow Metro, perpetrator's motive, arrest and sentencing details",,,,,,,,,,,,2004 Arkhangelsk explosion
"December 6, 2006","Milwaukee, Wisconsin, USA","3 killed, 47 injured",Propane gas explosion at Falk Corporation building,"Cars flipped, debris scattered, leaks in propane pipe, legal action, manufacturer of industrial components, owned by Rexnord, complex size, number of people inside, building description, company history",-,,,,,,,,,,,,,2006 Falk Corporation explosion
"October 19, 2007","Makati, Metropolitan Manila, Philippines","11 killed, at least 126 injured",Glorietta explosion,"LPG tank explosion, initial reports, authorities' findings, victims admitted to hospitals, bomb possibility, UK advisory, terrorist threat, rescue operations",-,"Makati Medical Center, Ospital ng Makati, Luk Yuen Noodle House, Philippine National Police, Makati Rescue deployment, search and rescue operations",,,,,,,,,,,,2007 Glorietta explosion
"March 22, 2007","Maputo, Mozambique",At least 93 killed,Arms depot explosion,"Series of explosions, Soviet-manufactured weapons, Malhazine suburb, national mourning, flags at half mast, looting prevention, Defense Ministry statement",Hundreds more injured,"Heat wave, drought conditions, temperatures, smaller explosion in January, casualties breakdown, military personnel, civilians, children affected, sealing off the area, destruction of remaining ammunition, obsolete weapons",,,,,,,,,,,,2007 Maputo arms depot explosion
"July 3-4, 2008","Chelopechene, Sofia, Bulgaria",-,Series of explosions at munitions depot,"Explosions heard throughout Sofia, panic among residents, evacuation orders, mushroom cloud formation, type and quantity of stored ammunition, media coverage, impact on residents, emergency services response",-,"1,494 tonnes of aging artillery shells, rocket propelled grenades, depth charges, hand grenades, explosives due for disposal, evacuation of Chelopechene, Chepintsi, and Botunets residents, media reports, impact on residents, emergency services response",,,,,,,,,,,,2008 Chelopechene explosions
"March 26, 2008","Al Quoz Industrial area, Dubai, UAE","2 deaths, 2 injured",Industrial explosion at fireworks factory,"Over 20 buildings engulfed in flames, two explosions, first explosion felt up to six kilometers away, second smaller explosion, unknown cause, blast followed by fireworks going off, area occupants, morning traffic hindering first responders, schools evacuated",-,"Residents, workers, stores in the area, large work camps with thousands of Asian workers, morning traffic congestion, impact on schools, Rashid Hospital, 83 buildings affected, blast times, smoke cloud evacuation, casualties, injuries, cause of smaller blast",,,,,,,,,,,,2008 Dubai explosion
"February 7, 2008","Port Wentworth, Georgia, United States","14 killed, 40 injured",Dust explosion at sugar refinery,"Industrial disaster, outdated construction methods, explosion origin, Department of Justice investigation, safety legislation proposed, economic decline, rebuilding plans, lawsuits filed, settlement details, financial impact on Imperial Sugar, reports by U.S. Chemical Safety Board, Occupational Safety and Health Administration, Bureau of Alcohol, Tobacco, Firearms and Explosives",-,"Imperial Sugar refinery, history of dust explosions, safety concerns, efforts to improve safety, closure of the refinery, rebuilding plans, legal actions, economic consequences, investigation reports",,,,,,,,,,,,2008 Georgia sugar refinery explosion
"August 26, 2008","Yizhou, Guangxi province, China","At least 20 killed, 60 injured, 6 missing",Series of explosions at chemical plant,"Factory owned by Guangxi Guangwei Chemical Co., polyvinyl acetate production, chemicals involved (ammonia, formaldehyde, acetylene, sulfurated hydrogen, carbon monoxide), evacuation of 11,500 residents, environmental impact on Long River","Toxic substances leaked, 108,000 sq ft area affected",,,,,,,,,,,,,2008 Guangxi chemical plant explosions
"March 15, 2008","Gërdec, Albania","Multiple deaths, injuries",Explosion at ex-military ammunition depot,"Destruction of houses, shattered car windows, large fire, series of explosions, evacuation, airport damage, artillery shells, evacuation, government response, investigation findings",-,"U.S. and Albanian munitions experts, stockpile destruction, chain of events, propellant explosion, distance of explosion sound, evacuation details, possible causes, new technologies in ammunition disposal",,,,,,,,,,,,2008 G毛rdec explosions
"January 9, 2008","Kazan, Tatarstan, Russia","10 killed, 2 injured",Gas explosion in apartment building,"12 apartments destroyed, rescue efforts in -30°C temperatures, concerns for trapped victims, missing residents, DNA analysis for identification, criminal investigation, suspected gas appliance misuse, relocation of affected families to new apartments",-,"City authorities, residents' relocation, new apartment arrangements, discounted prices, support from Kazan mayor and district administration",,,,,,,,,,,,2008 Kazan gas explosion
"December 24, 2008","Yevpatoria, Ukraine","27 deaths, 10 missing",Gas explosion in apartment block,"National mourning declared, government assistance for victims, tougher control measures in gas supply industry, similar past incidents in Ukraine",-,"President Viktor Yushchenko, day of national mourning, Cabinet of Ministers orders, housing and financial compensations, free school instruction, gas supply industry control measures, past incidents in Dnipropetrovsk, common occurrences in former Soviet states",,,,,,,,,,,,2008 Yevpatoria gas explosion
"October 23-25, 2009","Cataño, Bayamón, Puerto Rico","0 deaths, 3 injured",Explosion at Caribbean Petroleum Corporation oil refinery,"2.8-magnitude earthquake equivalent, 11 storage tanks destroyed, 30 million US gallons of petroleum released, dead wildlife, environmental assessments, millions of dollars in damages, 600 people in shelters, response details",-,"Cidra audible explosion, windows and doors shaking, 100-foot flames, impact on San Juan Bay wetlands, EPA, US Fish and Wildlife Service, Puerto Rico Department of Natural Resources involvement, injured drivers, Fort Buchanan injuries, respiratory problems reported",,,,,,,,,,,,2009 Cata帽o oil refinery fire
"May 30, 2009","Qijiang County, Chongqing, China","30 deaths, 59 injured",Gas explosion at Tonghua Coal Mine,"Illegal mining practice, excessive explosives, 131 miners working underground, state-owned Songzao Mining Bureau, 101 miners rescued, 3 detained individuals, Wikipedia stub for disaster management and China-related event",4 serious,,,,,,,,,,,,,2009 Chongqing mine blast
