Total Deaths,Start Date,End Date,Origin,Location,Duration,Impact,Possible Origin,Spread,Transmission,Symptoms,,Estimated Fatalities,Major Outbreaks,Impact on Milan,Impact on Venice,Economic Impact,Impact Areas,Key Measure,Daily Deaths Peak,Deaths in Russia,Deaths in London,Deaths in Great Britain,John Snow's Role,Significance,Possible Pathogen,Modes of Transmission,Global Spread,First Reported Location,Further Spread,Rapid Spread to Cities,"This table highlights critical details about the origin, progression, and impact of the 1889-1890 ""Asiatic flu"" pandemic, presenting concise information for reference and analysis.",Asian flu pandemic,Hong Kong flu pandemic,Spread in China,Lack of Notification,Chinese Influenza Center,Impact on Hong Kong,Mortality Rate,Timeframe,Total Death Count,Emperors,Outbreak in Rome,Association,Number of cases,Number of deaths,Vaccines,Preventive measures,Treatments,Outbreak Dates,Global Deaths,Causative Strain,Initial Reports,Impact in Hong Kong,Wave in Mainland China,Impact on Naples,Impact in Barletta,Impact in Rome,Impact in Genoa,Primary Location,Major Impact,Causative Agent,Confirmation,Virus Strain,Time Period,Global Cases,Death Toll,Comparative Deadliness,Geographic Origin Controversy,Demographic Impact,Contributing Factors,Initiation,End,Previous Pandemics,trigger
"At least 280,000",1629,1631,,Northern and central Italy,,,Northern France in 1623,,,,,Up to one million,"Milan, Venice, Bologna, Modena, Parma, Tyrol","Approximately 60,000 deaths out of 130,000 population","46,000 casualties out of a population of 140,000",Downfall of Venice as a major commercial and political power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629–1631 Italian plague
Around 2 million,Winter of 1772,1773,,Persian Empire,,,,,,,,,,,,,"Baghdad, Basra, Bahrain, Bombay",Introduction of quarantine measures,Thousands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1772–1773 Persian Plague
,,,"India, potentially as early as 1837",,1837-1863,"High fatalities in Asia, Europe, Africa, and North America",,,,,,,,,,,,,,Over one million fatalities due to cholera,"Over 10,000 fatalities in 1853-1854 epidemic","23,000 deaths during the 1853-1854 epidemic","Identified contaminated water as the transmission source of cholera, leading to control measures","Highest fatalities among 19th-century cholera epidemics, Snow's contributions to epidemiology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1846–1860 cholera pandemic
Approximately 1 million worldwide,1889,1890,,,,,,,,,,,,,,,,,,,,,,,Possibly caused by human coronavirus OC43,Likely spread through infected droplets and airborne particles,"Facilitated by modern transport infrastructure, reaching Europe, Russia, Asia","Bukhara, Central Asia in May 1889","Trans-Caspian railway to Samarkand by August 1889, Tomsk by October","Krasnovodsk, Saint Petersburg, Moscow, Kiev, and Lake Baikal region","This table highlights critical details about the origin, progression, and impact of the 1889-1890 ""Asiatic flu"" pandemic, presenting concise information for reference and analysis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1889–1890 flu pandemic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Originated in Guizhou, southern China; estimated 1-4 million excess deaths worldwide","Caused by the H3N2 viral strain; first reported in Guizhou, China in 1956 or early 1957","Epidemic in western Guizhou in February 1957, spread to Yunnan; by mid-March had spread all over China","China, non-WHO member, did not inform other countries; CDC states first reported in Singapore in February",Established in response to epidemic; published a manual on influenza in 1958,"Thousands affected; estimated 250,000 receiving treatment out of a total population of about 2.5 million",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957–1958 influenza pandemic
,August 735,737,,"City of Dazaifu, Fukuoka, Japan",,"Famine, poor agricultural yields, significant death toll across all levels of society",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estimated 25-35% of Japan's population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735–737 Japanese smallpox epidemic
,,,,,,First known pandemic in the Roman Empire,Contracted and spread by returning soldiers,"Gaul, legions along the Rhine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165 - 180 AD,Estimated 5-10 million,"Lucius Verus, Marcus Aurelius, associated with Antoninus Pius","189 AD, up to 2,000 deaths per day","Family name Antoninus, high death toll in cities and Roman army",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antonine Plague
Estimated 75-200 million people in Eurasia and North Africa,1346,1353,"Disputed, possibly originated in Central or East Asia",,,Resulted in the death of 30-60% of European population,,,"Spread by fleas carrying Yersinia pestis, person-to-person via aerosols","Bubonic plague: Fever, buboes",Pneumonic plague: Respiratory symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Death
,,,,,,,,,"Through contaminated droplets, airborne particles","Fever, dry cough, fatigue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More than 500 million cases,6.18 million deaths,Approved and widely distributed since December 2020,"Social distancing, masking, ventilation, quarantining","Monoclonal antibodies, antiviral drugs, symptom control",,,,,,,,,,,,,,,,,,,,,,,,,,COVID-19 pandemic
,,,Possibly mainland China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968-1969,Between 1-4 million,H3N2 influenza A virus,"First noted in Hong Kong on 13 July 1968, initial cases in mainland China reported in July 1968","High population density with maximum intensity reached in two weeks, mild clinical symptoms, low mortality rate, affecting about 15% of the population","Two waves, one between July-September 1968, another between June-December 1970",,,,,,,,,,,,,,,,,,,,Hong Kong flu
"Up to 1,250,000 in Kingdom of Naples, 150,000–200,000 in Naples",,,,"Central and southern Italy, Kingdom of Naples",1656–1658,,Possibly from the Great Plague of Seville in Spain,"From Sardinia to Naples to Rome, affecting most of the Papal State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More than half of the population died,"7,000–12,000 deaths out of 20,000 population","Around 23,000 deaths","Approximately 60,000 deaths, 60% of local population",,,,,,,,,,,,,,,,Naples Plague
About a fifth of the population in Constantinople,,,Likely originated in the Tian Shan mountain range,,541-549,,,"Arrived in Roman Egypt in 541, spread around the Mediterranean Sea until 544",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Entire Mediterranean Basin, Europe, and the Near East",Severely affected the Byzantine Empire and its capital,Bacterium Yersinia pestis,"In 2013, researchers confirmed the cause as Yersinia pestis",,,,,,,,,,,,Plague of Justinian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H1N1,1918 - 1920,Approximately 500 million,"Estimates range from 17-50 million, potentially up to 100 million",Second deadliest pandemic after the Black Death of 1346-1353,Indeterminate; with competing hypotheses on initial spread,Unusually high mortality for young adults compared to typical flu outbreaks,"Climate anomaly, cytokine storm, bacterial superinfection, poor hygiene",,,,Spanish flu
"More than 12 million in India and China, 10 million in India",,,"Yunnan, China",,1855 - 1960,,,,"Bubonic: through ocean-going trade, infected persons, rats, and cargoes",,2. Black Death from 1346-1353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855,"1960, with a decrease in casualties to 200 per year",1. Plague of Justinian in 541-542,Third plague pandemic
