Event Name,Date,Location,Area Burned,Fatalities,Causes,Impact,Estimated Damage Cost,trigger
1961 South-West WA Bushfires,January - March 1961,"Dwellingup, Pemberton, Shannon River, Augusta-Margaret River, Kalamunda",Large areas of forest,0,"Tropical cyclone, hot north-easterly winds, dry thunderstorms","Destruction of Dwellingup and Karridale, loss of smaller settlements, no human casualties",Not applicable,1961 Western Australian bushfires
1974–75 Australian bushfire season,October 1974 - February 1975,"New South Wales, Northern Territory, Queensland, South Australia, Western Australia",117 million hectares,6,"Heavy rainfall in previous years, dry conditions, strong winds","6 human lives lost, 57,000 farm animals killed, 10,200 km of fencing destroyed, extensive fire damage across 15% of Australia",Not specified,1974-75 Australian bushfire season
1994 Eastern Seaboard Fires,27 December 1993 - 16 January 1994,"New South Wales, Australia","800,000 hectares",4,"Severe fires, mass evacuations, destruction of homes, large firefighting effort","4 fatalities, 225 homes destroyed, mass evacuations, 800,000 hectares of bushland burned",Not specified,1994 Eastern seaboard fires
2003 Canberra bushfires,18–22 January 2003,"Canberra, Australian Capital Territory","70% of pastures, pine plantations, and nature parks",4,"Lightning strikes, poor initial response, destruction of Mount Stromlo Observatory","4 deaths, over 490 injured, 470 homes destroyed or severely damaged, significant relief and reconstruction effort",Not specified,2003 Canberra bushfires
Eastern Victorian alpine bushfires,8 January - 7 March 2003,"Alpine National Park, Mount Buffalo National Park, Victoria, Australia","1,300,000 hectares",Not specified,Lightning strikes,"41 homes and 213 structures destroyed, 10,000 livestock killed, extensive damage to fencing, involvement of over 15,000 personnel in firefighting efforts",Not specified,2003 Eastern Victorian alpine bushfires
2006-07 Australian Bushfire Season,December 2006 - February 2007,"Victoria, New South Wales, Australia",Over 1 million hectares,3,"Lightning strikes, dry conditions, strong winds","Extensive property and livestock losses, one fatality, evacuation plans implemented",Not specified,2006–07 Australian bushfire season
2007 Kangaroo Island bushfires,6 December 2007,"Kangaroo Island, South Australia","95,000 hectares",Not specified,Lightning strikes,"Destruction of national park and wilderness protection area, containment efforts, assistance from firefighting units",A$2.3 million,2007 Kangaroo Island bushfires
2013 New South Wales bushfires,13 - 20 October 2013,"New South Wales, Australia",Not specified,2,"High fuel loads, warm, dry, and windy weather","248 structures destroyed, state of emergency declared, claims exceeding A$94 million, two fatalities",A$94 million,2013 New South Wales bushfires
2015 Esperance bushfires,15 - 26 November 2015,"Goldfields-Esperance, Western Australia","310,000 hectares",4,"Cascades fire, Merivale fire, Cape Arid complex of fires","4 civilian fatalities, destruction of structures, livestock and crops, habitat loss for Western Ground Parrot",Not specified,2015 Esperance bushfires
2015 Pinery bushfire,25 November - 2 December 2015,"Lower Mid North and west Barossa Valley, South Australia","At least 86,000 hectares",2,"High temperatures, dry conditions, strong winds","2 fatalities, 90 hospitalized, destruction of 91 houses, 388 non-residential structures, significant damage to rural produce",Up to A$40 million,2015 Pinery bushfire
