Date,Location,President,Vice President,Chief Justice,Length of Term,Notable Events,Notable Quotation,trigger
"March 4, 1861","East Portico of the United States Capitol in Washington, D.C.",Abraham Lincoln,Hannibal Hamlin,Roger B. Taney,Only full term,"First inauguration, Lincoln's first public appearance with a beard, heavy security presence, secession of seven slave states, Lincoln's journey to D.C.",N/A,First inauguration of Abraham Lincoln
"March 4, 1829","East Portico of the United States Capitol in Washington, D.C.",Andrew Jackson,John C. Calhoun,John Marshall,First four-year term,"Commencement of first term, Chief Justice administering oath, large crowds, unique entrance to Capitol, enthusiastic crowd response","""It is beautiful; it is sublime!""",First inauguration of Andrew Jackson
"January 20, 2009","West Front of the United States Capitol in Washington, D.C.",Barack Obama,Joe Biden,John Roberts,First term,"Record attendance, inaugural theme ""A New Birth of Freedom"", references to Lincoln, shared sacrifice emphasis, oath re-administration",N/A,First inauguration of Barack Obama
"January 20, 1993","West Front of the United States Capitol in Washington, D.C.",Bill Clinton,Al Gore,N/A,First term,"Commencement of first term, America's Reunion on the Mall festival, outdoor concert with various entertainers, record-breaking Metrorail trips, bell-ringing ceremony",N/A,First inauguration of Bill Clinton
"January 20, 1953","East Portico of the United States Capitol in Washington, D.C.",Dwight D. Eisenhower,Richard Nixon,Fred M. Vinson,First term,"Commencement of first term, Chief Justice administering oath, Bibles used, Joint Committee on Inaugural Ceremonies members",N/A,First inauguration of Dwight D. Eisenhower
"March 4, 1933","East Portico of the United States Capitol in Washington, D.C.",Franklin D. Roosevelt,John Nance Garner,Charles Evans Hughes,First term,"Commencement of first term, last March 4 inauguration, 20th Amendment impact, landslide election victory, radio broadcast of inaugural speech",N/A,First inauguration of Franklin D. Roosevelt
"January 20, 2001","West Front of the United States Capitol in Washington, D.C.",George W. Bush,Dick Cheney,William Rehnquist,First term,"Commencement of first term, Chief Justice administering oath, large attendance, first inauguration of the 21st century, protests, pre-inaugural entertainment",N/A,First inauguration of George W. Bush
"April 30, 1789","Balcony of Federal Hall in New York City, New York",George Washington,John Adams,N/A,First four-year term,"First presidential inauguration, Chancellor of New York Robert Livingston administering oath, official start of Executive Branch operations, beginning of new government framework",N/A,First inauguration of George Washington
"March 4, 1885","East Portico of the United States Capitol in Washington, D.C.",Grover Cleveland,Thomas A. Hendricks,Morrison Waite,First four-year term,"First inauguration, commencement of first term, intra-term vice-presidential vacancy, unique oath administration, non-consecutive terms",N/A,First inauguration of Grover Cleveland
"March 4, 1809","House of Representatives, U.S. Capitol in Washington, D.C.",James Madison,George Clinton,John Marshall,First four-year term,"Commencement of first term, Chief Justice administering oath, inaugural ball at Long's Hotel, George Clinton's death during term","""I feel in the discharge of this arduous trust, and these are feelings which I need not, perhaps cannot, express in a manner adequate to their strength.""",First inauguration of James Madison
