Location,Impact,Construction Details,Cause of Failure,Historical Significance,Current Status,Casualties,Date,Coordinates,Ownership Details,Funding Sources,Timeline of Events,Response and Investigation,Operational Capacity,Date of Completion,trigger
"Nanda Devi National Park, Uttarakhand, India","Speculated glacial lake outburst flood was actually triggered by a landslide, not glacier break-off",,"Large rock and ice avalanche from Ronti peak caused flooding in Chamoli district, affecting Rishiganga, Dhauliganga, and Alaknanda rivers",,Ongoing recovery and investigation efforts,"Over 200 killed or missing, most were workers at Tapovan dam site",7 February 2021,,,,,,,,2021 Uttarakhand flood
"Ajkai Timföldgyár alumina plant, Ajka, Veszprém County, Hungary","40 square kilometers of land affected, spill reached the Danube","Dam of reservoir number 10 collapsed, releasing one million cubic meters of liquid waste from red mud lakes","Collapse of dam, release of red mud wave, flooding nearby localities","Industrial accident, human error suspected, waste product of Bayer process","Dam failure, investigations ongoing","10 deaths, 150 injuries","October 4, 2010",,,,,,,,Ajka alumina plant accident
"Austin, Pennsylvania, United States","Loss of life, property damage, lack of state regulations for dam construction","Concrete gravity dam built in 1909, 50 feet high, 540 feet long, cost $86,000","Catastrophic failure on September 30, 1911, due to design flaws and inadequate construction","Largest dam of its type in Pennsylvania at the time, no state regulations for dam building","Dam failed in 1911, no longer exists","78 deaths, significant destruction in Freeman Run Valley",,,,,,,,,Austin Dam
"Baldwin Hills, South Los Angeles, California","Vigorous rescue efforts, reservoir now part of Kenneth Hahn State Recreation Area",Baldwin Hills Reservoir constructed between 1947 and 1951 on an active fault line,"Catastrophic failure due to lining failure and leakage, 250 million US gallons released","Subject of continuing interest in civil engineering, built during post-WWII dam construction boom",Former reservoir now part of a state recreation area,"5 deaths, 277 homes destroyed","December 14, 1963",,,,,,,,Baldwin Hills Reservoir
"Purvis, Mississippi, United States","26 homes destroyed, 8 major damage, 8 minor damage, 25 mobile homes destroyed, 1 minor damage","Earthen dam, 1890 feet long, 51.3 feet high, embankment failed through piping near principal spillway","Embankment failure due to piping, peak breach flow of 147,000 ft3/s, released 14,200 ac-ft of water","Dam failure, no historical significance","Dam embankment largely intact, no human casualties, 104 structures damaged or destroyed",No human casualties,"March 12, 2004",,,,,,,,Big Bay Dam
"Otter Tail County, Minnesota, United States","Failure caused the collapse of four other downstream dams, significant property damage","Concrete hydroelectric gravity dam on the Otter Tail River, constructed in 1908","Dam failure due to built on top of a spring without proper site evaluations, undermined foundations","Only flood recorded in the history of Fergus Falls, ruins lie along the Otter Tail River State Water Trail","Ruins of the dam remain at the recreational Otter Tail River State Water Trail, no longer operational",No casualties,"September 24, 1909",,,,,,,,Broken Down Dam
"Brumadinho, Minas Gerais, Brazil","Destruction of offices, cafeteria, houses, farms, inns, and roads","Dam I at the Córrego do Feijão iron ore mine, owned by Vale, released a mudflow downstream","Catastrophic failure of tailings dam, mudflow through mine offices, houses, farms, and roads","Second disaster involving Vale, following the 2015 Mariana dam disaster","Dam classified as low risk, licensed for waste reuse and closure, ongoing investigations and legal actions","270 deaths, 259 confirmed, 11 missing","January 25, 2019",,,,,,,,Brumadinho dam disaster
"Buffalo Creek, Logan County, West Virginia","507 houses, 44 mobile homes, 30 businesses destroyed, impacting 16 coal towns along Buffalo Creek Hollow","Coal slurry impoundment dam managed by Pittston Coal, declared ""satisfactory"" by a federal mine inspector","Dam #3 failure followed by heavy rains, water overwhelmed dams #2 and #1, unleashing 132 million US gallons of black waste water",Two commissions investigated the disaster,Dam failure led to significant loss of life and property damage,"125 killed, 1,121 injured, over 4,000 left homeless","February 26, 1972",,,,,,,,Buffalo Creek Flood
"Mamanguape River, Paraiba, Brazil","Flooding of Alagoa Grande and Mulungu towns, three people drowned",,,,,At least three deaths,"June 17, 2004",7°01′19″S 35°46′35″W﻿ / ﻿7.02185°S 35.7765°W﻿ / -7.02185; -35.7765,,,,,,,Camar谩 Dam
"Canoas River, Brazil","Water loss, financial cost, consortium ownership, local population maltreatment","Hydroelectric dam, 200 meters high, part of a complex providing 880 MW, second dam below, capacity of 2 cubic kilometers","Break in dam wall leading to water running out, tunnel collapse causing major break",,,Not specified,,,"Campos Novos Energia S.A., CPFL Energia, Companhia Brasileira de Aluminio, Companhia Niquel Tocantins, etc.","Inter-American Development Bank, Brazilian Development Bank","Tunnel collapse in October 2005, major break in June 2006",,,,Campos Novos Dam
"Rapid City, South Dakota, United States","Over 1,335 homes and 5,000 automobiles destroyed, $160 million in property damage","Canyon Lake Dam clogged with debris and failed, 15 inches of rain in Black Hills","Dam failure due to clogging with debris, severe flooding in Rapid City","Deadliest flood in South Dakota history, one of the deadliest in U.S. history","Dam failed during the flood, no longer exists","238 deaths, 3,057 injuries","June 9-10, 1972",,,,,,,,Canyon Lake Dam
"Castlewood Canyon State Park, Colorado","Flood reached downtown Denver, remnants and damage still visible in the park","Castlewood Dam built in 1890, suffered a complete collapse following heavy rains","Dam failure due to heavy rains, 15-foot wall of water rushed down Cherry Creek to Denver","Unique part of Colorado's history, remnants of the dam still visible","Dam completely collapsed, remnants visible in the park",Not specified,"August 3, 1933",,,,,,,,Castlewood Dam
"Delhi Dam, Iowa, United States","Dam and lake part of Turtle Creek Recreation Area, used for recreation, $500,000 in damages in 2008 floods","Embankment dam on the Maquoketa River, created Lake Delhi, built between 1922 and 1929 for hydroelectric power production",Dam failure due to overtopping and subsequent erosion after heavy rain,"Used for hydroelectric power production until 1973, partnership for power plant refurbishment in 2008","Dam failed in 2010, plans for power plant refurbishment, cited for minor problems in 2009 inspection",Not specified,"July 24, 2010",,,,,,,,Delhi Dam
