Political Party,Resignation Date,Reason for Resignation,Work Experience,Education,Constituency,Year Elected,Position,Subsequent Actions Taken,Birthplace,Family Background,Notable Actions,Position Resigned from,Previous Positions,Current Position,Political Stance,Positions Held,Birthdate,Party Affiliation,Notable Positions Held,Years Elected,Resignation Announcement,Previous Position,trigger
Conservative,22 July 2019,Citing Boris Johnson's election to the Tory leadership and UK premiership,,,,,,-,,,,Minister of State for Europe and the Americas,,,,,,,,,,,Alan Duncan
Conservative,3 September 2019,Conservative whip removed,Solicitor at Watts Vallence & Vallence,"Jurisprudence degree from St John's College, Oxford",North East Bedfordshire,2001,"Member of Parliament for North East Bedfordshire (2001 - 2019), Minister of State at the Department of Social Security (1992 - 1997), Minister of State at the Foreign and Commonwealth Office (2010 - 2013), Minister of State at the Department of Health (2015 - 2016)","Conservative whip restored on 29 October 2019, retired at the 2019 general election",,,,,"MP for Bury North (1983 - 1997), Parliamentary Under Secretary of State at the Foreign and Commonwealth Office (2010 - 2013)",,,,,,,,,,Alistair Burt
Conservative,April 2018,Connection with the Windrush deportation scandal,"Investment banker, Member of Parliament for Hastings and Rye","History degree from the University of Edinburgh School of History, Classics and Archaeology",Hastings and Rye,2010,"Home Secretary (2016 - 2018), Secretary of State for Work and Pensions (2018 - 2019)",Stood down from parliament in 2019,Marylebone,,,,,,,,,,,,,,Amber Rudd
,"May 22, 2019",Protest at Theresa May's Brexit strategy,,,,,,-,,,,Leader of the House of Commons,,,,,,,,,,,Andrea Leadsom
Conservative,,,"Secondary school history teacher, parish councillor for Airmyn, Hull City Council councillor","Politics graduate from the University of York, studied law at Leeds University",Brigg and Goole,2010,Member of Parliament for Brigg and Goole since 2010,,,"Father of Sri Lankan origin, mother of Indian heritage, has a brother and sister","Active member of various parliamentary groups, including All Party Parliamentary Groups on Financial Education for Young People and Yorkshire and Northern Lincolnshire, member of the Better Off Out Group",,,,,,,,,,,,Andrew Percy
Conservative,September 2019,Whip removed in disagreement with the government,"Worked for the NHS for 25 years as a nurse, served as a councillor for the Borough of Reigate and Banstead","Trained as a nurse at St Bartholomew's Hospital in London, obtained a diploma in district nursing from the London South Bank University",Guildford,2005,"Minister of State for Skills and Apprenticeships (2017 - 2019), Member of Parliament for Guildford (2005 - 2019)",Sat as an independent politician,"Sussex, England",,,,,,,,,,,,,,Anne Milton
Conservative,,,"Worked in PwC's corporate finance department, former Governor of Northumbria Healthcare Trust and Berwick Academy",Chartered accountant qualified in London with Price Waterhouse,Berwick-upon-Tweed,2015,,,,Daughter of Donald Leonard and Katherine Beaton,"Led the ""Dual the A1 Campaign"" to make the road a dual carriageway, stood as Conservative candidate in various elections",,Secretary of State for International Development in 2020,Secretary of State for International Trade and President of the Board of Trade since 2021,,,,,,,,,Anne-Marie Trevelyan
,July 2018,Disagreement with Theresa May's approach to Brexit and the Chequers Agreement,,,,,,Elected as Leader of the Conservative Party and appointed as Prime Minister,,,,Secretary of State for Foreign and Commonwealth Affairs,,,,,,,,,,,Boris Johnson
Conservative,2019,Resigned to support Andrea Leadsom's Conservative leadership bid,"Worked for the family business at New Covent Garden Market, ran What4 Ltd for eleven years","Attended Tiffin School in Kingston upon Thames, studied at Wolverhampton Polytechnic",Daventry,2010,,,,,,,"Minister of State for Europe, Chairman of the European Research Group, Brexit Minister",Government Chief Whip of the House of Commons and Parliamentary Secretary to the Treasury since 2022,,,"November 28, 1967",,,,,,Chris Heaton-Harris
Conservative,2017,Implicated in the 2017 Westminster sexual misconduct allegations,,,Tamworth,2010,,,"Walsall, grew up in Wombourne, Staffordshire",,Implicated in the 2017 Westminster sexual misconduct allegations,,"Minister of State for Europe and the Americas, Minister of State for Housing",Government Deputy Chief Whip and Treasurer of the Household since 2022,,,,Member of the Conservative Party since 1987,,,,,Christopher Pincher
