Location,Event Name,Notable Changes/Cancellations,Organizer,Inauguration Year,Sanctioning Body,Duration,Event,Sponsor,Year,Organizers,Founders,Original Name,Name Change,Previous Name,Establishment Year,Historical Significance,Notable Participants,Winner,Management Transition,CEO Appointments,Social Media Presence,Viewership Statistics,Digital Broadcast Rights,Predecessor Organization,Current Status,Inaugural Year,Unique Aspects/Participants,Founders/Organizers,Significant Participants,Founding Year,Notable Changes/Additions,Other Activities,Date,Winning Surfer,Prize Money,Notable Competitors,Establishment,Professional Division,World Tandem Surfing Championships,Stand up Paddle Surfing,Live Entertainment,Fundraising Auctions,Waterman,Certification,Surfboard Innovations,Wave Quality,Notable Winners,Challenges Faced with Permits,Minimum Wave Height,Key Requirements,Tournament Frequency,Number of Competitors,Nationalities Represented,Prize,Participants,Reason for promotion,Challenges Faced,Final Results,Sponsors,Years of Operation,Owner,Significance,Historical Name Changes,Achievements,Controversies,Jan 12 - Jan 18,Jan 23 - Jan 25,Feb 09 - Feb15,Mar 18 - Mar 22,Mar 23 - Mar 29,Mar 25 - Mar 29,Mar 29 - Apr 05,Apr 06 - Apr 12,Apr 19 - Apr 26,Apr 21 - Apr 26,Apr 28 - May 02,Apr 29 - May 06,May 14 - May 17,May 12 - May 17,Jun 02 - Jun 07,Jun 08 - Jun 14,Jun 16 - Jun 24,Jun 28 - Jul 05,Jul 09 - Jul 12,Jul 07 - Jul 12,Jul 14 - Jul 19,Jul 21 - Jul 26,Jul 17 - Jul 26,Jul 28 - Aug 02,Jul 29 - Aug 02,Aug 5 - Aug 9,Aug 18 - Aug 23,trigger
,,,,,,,,,,,Fred Hemmings and Randy Rarick,International Professional Surfing (IPS),ASP rebranded to World Surf League (WSL) in 2015,,,,,,"Association of Surfing Pros (ASP) took over in 1983, ASP acquired by ZoSea (2013)","Sophie Goldschmidt appointed CEO in 2017, Erik Logan appointed CEO in 2020",Over 6.5 million Facebook fans as of December 2017,"28 million hours of digital video content consumed in 2017, WSL ranked third most watched sport online in the US after NFL and NBA",Exclusive $30 million deal with Facebook for two years starting in 2018.,International Surfing Federation (now International Surfing Association),"WSL remains a prominent governing body for professional surfers, showcasing talent in progressive formats with a strong digital presence and significant social media following.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Association of Surfing Professionals
"Newcastle, NSW",Australian Boardriders Battle,"National finals moved to Newcastle in 2017, broadcasted live on Fox Sports",Surfing Australia,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australian Boardriders Battle
"Manly Beach, Sydney",Australian Open of Surfing,Event cancelled in 2018,IMG,2012,World Surf League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Australian Open of Surfing
"Torquay, Victoria, Australia",Rip Curl Pro,"Event cancelled in 2020 due to COVID-19 pandemic. Traditionally, winner awarded prestigious 'Bell' trophy. ""Hells Bells"" by AC/DC played every morning before competition.",Rip Curl,,World Surf League,,,,,,,,,Bells Beach Surf Classic,,,,,,,,,,,,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bells Beach Surf Classic
"Banzai Pipeline, Oahu, Hawaii",Billabong Pipeline Masters,"2020 event cancelled due to COVID-19, unique final leg of Triple Crown of Surfing and WSL Championship Tour (excluding 2020)",,,World Surf League,,,Billabong,,,,,,,1971,,,,,,,,,,,,Top 34 WSL surfers and 32 walk-on trial surfers from around the world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billabong Pipeline Masters
"Sunset Beach, North Shore, Oʻahu",Duke Kahanamoku Invitational Surfing Championship,Replaced by the Billabong Pro in 1985,,1965,,,,,,,,,,,,,,,,,,,,,,,,"Duke Kahanamoku, Greg Noll, Fred Hemmings","Jeff Hakman, Greg Noll, Clyde Aikau, Eddie Aikau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duke Kahanamoku Invitational Surfing Championship
"Virginia Beach, Virginia",East Coast Surfing Championships,,US Surfing Federation,,,4 days,,-,1963,,,,,,,,,,,,,,,,,,,,,1963,Introduction of Beach Bum Classic,"Men's and Women's surfing events, volleyball, skateboarding, skimboarding, 5k Oceanfront run, swimsuit competition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Coast Surfing Championships
Makaha,Ku Ikaika Challenge,,,,,One day,,Quick Silver,,,,,,,,,,,,,,,,,,,,,,,,,"February 14, 2008",Aaron Napoleon,"$4,000","Bonga Perkins, Jamie Sterling, Garrett McNamara, Raimana Van Bastolaer, Buzzy Kerbox, Chris Mauro, Kainoa McGee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ku Ikaika Challenge
"Noosa, Queensland",,,USM Events,,,,,Global Surf Industries,,,Noosa Malibu Club,Noosa Malibu Classic,The Noosa Festival of Surfing,,,Heart of Australian surfing in the late 50s and early 60s,,,,,,,,,,,,,,,,,,,,,1992,Introduced in 1996,Hosted since 1999,Incorporated in 2007,Included in the Festival,Held during the event,Brian Keaulana,Association of Surfing Professionals Longboard rated event,"Shorter boards and transitional designs influenced by Kevin Platt, George Greenough, and Trevor Hewston",Long peeling waves with perfect barrel sections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noosa Festival of Surfing
"Banzai Pipeline, Oahu, Hawaii",,,,1971,,,Pipeline Bodysurfing Classic,,,"Honolulu City Parks Department, North Shore Bodysurfing Club",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mike Stewart,Denied permits for certain seasons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pipeline Bodysurfing Classic
