Date,Location,Casualties,Cause of Explosion,Impact,Individuals Involved,Legal Actions Taken,Regulations/Restrictions,trigger
"April 5, 1986","Bayview district, San Francisco, California","8 killed, 20 injured",Explosion and fire in clandestine fireworks factory,"$10 million in damages, over 100 small businesses affected, destruction of various businesses","Thomas C. Cuyos, Nolan Florita, associates","Three individuals arrested, two convicted, one acquitted",No specific regulations or restrictions mentioned,1986 San Francisco fireworks disaster
"December 20, 2016","San Pablito Market, Tultepec, Mexico","At least 42 killed, dozens injured","Unknown, preliminary sources suggest gunpowder ignition","Significant casualties, injuries, damage to market and nearby homes","Market vendors, visitors, residents, emergency responders",Not specified,"Safety measures implemented following previous incidents, large presence of fireworks in the market",2016 San Pablito Market fireworks explosion
"February 9, 2009","Beijing, China",Not specified,Unsanctioned fireworks display near Beijing Television Cultural Center,"Massive blaze, building caught fire, adjacent to CCTV Headquarters, furor in China","CCTV officials, local government, police","No permit obtained, ignored police warnings, censorship attempts, media coverage","Use of powerful pyrotechnics without permit, failure to comply with safety regulations",Beijing Television Cultural Center fire
"May 27, 1983","Benton, Tennessee","11 killed, 1 injured",Explosion at unlicensed fireworks factory producing illegal fireworks,"11 fatalities, 1 injury, largest illegal fireworks operation in US history, national attention","Owner, mastermind, others involved in manufacturing and transportation","21 people convicted, two-year federal investigation",,Benton fireworks disaster
"May 7, 1991","Sungai Buloh, Selangor, Malaysia","26 killed, over 100 injured","Explosive chemicals spilled during an experiment in the canteen of the factory, leading to a chain of explosions","26 fatalities, over 100 injuries, roofs ripped off houses, 200+ residential properties damaged","Factory workers, nearby residents, victims taken to Kuala Lumpur Hospital",TV3's documentary program produced an episode about the disaster,No specific regulations or restrictions mentioned,Bright Sparklers Fireworks disaster
"September 7, 1984","Qala, Gozo, Malta","7 killed, 1 injured",Explosion while dumping illegal fireworks,"Severe damage to patrol boat, 7 fatalities, 1 survivor severely injured","5 soldiers, 2 policemen","Patrol boat repaired and renamed, decommissioned in 2010, memorial at AFM base",,C23 tragedy
"November 24, 2001","Belo Horizonte, Minas Gerais, Brazil","7 killed, 197 injured",Pyrotechnics set off on stage,"7 fatalities, 197 injuries, fire in nightclub, caused by pyrotechnics","Club-goers, band members, emergency responders",Not specified,"Compliance with safety regulations, pyrotechnics usage in public spaces",Canec茫o Mineiro nightclub fire
"September 26, 1999","Celaya, Mexico","63 killed, 348 injured",Detonation of illegally stored fireworks and gunpowder,"63 fatalities, 348 injuries, multiple explosions triggered, government investigation announced","Business inspectors, agent of attorney general's office, business owners","Arrests made for illegally issuing permits, abuse of authority, illegal possession and sale of fireworks",No specific regulations or restrictions mentioned,Celaya fireworks disaster
"October 30, 2015","Bucharest, Romania","64 killed, 146 injured",Pyrotechnics ignited flammable foam in nightclub,"Deadliest fire in Romania, caused by band's pyrotechnics, victims poisoned by toxins, band members killed or injured","Band members, club shareholders, associates","Arrests for negligent homicide, bodily harm, destruction","Mass protests, resignation of Prime Minister, no specific regulations mentioned",Colectiv nightclub fire
"February 14, 1991","Culemborg, Netherlands","2 deaths, 20-30 non-fatal injuries",Ignition and explosion in fireworks storage space,"Heavy structural damage, contributing factors identified, TNO recommendations not implemented","MS Vuurwerk BV employees, officials, scientists","No direct cause determined, lack of policy amendments, responsibility fragmentation",Lack of stricter safety precautions for fireworks production and storage,Culemborg fireworks disaster
"December 31, 2007","Barangay Turo, Bocaue, Bulacan, Philippines",Not specified,"Fireworks stores burning, series of explosions","Traffic jams, annual firework-related injuries, explosions in 1988, 2004, and 2007","Fireworks store owners, buyers, children",Not specified,"Republic Act 7183, restrictions on manufacturing, distribution, sale, and use of firecrackers and pyrotechnic devices",December 2007 Bocaue fire
"May 13, 2000","Enschede, Netherlands","23 killed, nearly 1,000 injured",Fire at S.E. Fireworks depot,"400 homes destroyed, 1,500 buildings damaged, explosions felt up to 30 km away","Firefighters, residents, S.E. Fireworks employees","Investigation, safety audits, evacuation of 10,000 residents",No specific regulations mentioned,Enschede fireworks disaster
