Main Organizers,Purpose,Date,Impact,Scale of Participation,Location,Trigger Event,Instances of Violence,Locations,Global Participation,Main Supporters,Inaugural Date,Main Locations,Dates,Main Commander,Type of Offensive,English Forces,French Response,Mileage Covered,Outcomes,Notable Speakers,Key Figures,Significant Numbers,Key Partners,Start Date,Impacts,Notable Attendees,Instances of Arrests,Estimated Attendance,Significant Policies,Notable Figures,trigger
,,"June 22 to July 13, 1356",,,"Normandy, France",,,,,,,,,"Henry, Earl of Lancaster",Chevauchée (mounted raid),"2,300 men",Led by John II of France,330 miles in 22 days,"Pillaged and burnt towns, seized loot, damaged French economy and prestige, cemented alliances",,,,,,,,,,,,#RickyRenuncia
"Global Exchange, labor unions, student groups, religion-based groups, anarchists","Opposition to WTO policies, prolabor, anticapitalist, environmental agendas","November 30, 1999","Massive street protests overshadowed the negotiations, drew support from various groups","Estimated at no fewer than 40,000 protesters","Seattle, Washington",WTO Ministerial Conference of 1999,Acts of vandalism and property destruction,,,"National and international NGOs, political conservatives like Pat Buchanan",,,,,,,,,,,,,,,,,,,,,1999 Seattle WTO protests
"Participants, Los Angeles Mayor Eric Garcetti, Los Angeles Councilman Paul Krekorian","Demand recognition of the Armenian genocide, which Turkey denies","April 24, 2015",,"Over 130,000 participants",Little Armenia in Hollywood to the Turkish consulate of Los Angeles,,"Verbal confrontation, eggs, and water bottles tossed",,,,,,,,,,,,,,,,,,,,,,,,2015 Armenian March for Justice
Women's March organization,"Advocacy for human rights, women's rights, immigration reform, healthcare reform, disability justice, reproductive rights, environmental issues, LGBTQ rights, racial equality, freedom of religion, workers' rights, and tolerance","January 21, 2017","Largest single-day protest in U.S. history, goal to advocate legislation and policies regarding various issues","Over 470,000 in D.C., 3,267,134 to 5,246,670 in the U.S., over seven million worldwide",,Inauguration of Donald Trump,,"Washington, D.C., worldwide",,,,,,,,,,,,,,,,,,,,,,,2017 Women's March
"Women's groups across the U.S., March On coalition, Women's March Incorporated","Gather political power of diverse women and communities, create societal change, nonviolent action against oppression","January 20, 2018","Galvanized by #MeToo movement, coincided with U.S. federal government shutdown, over 250 marches and rallies, Power To The Polls rally in Las Vegas","Hundreds of thousands of participants in the U.S., global participation",,,,"Hundreds of cities, towns, and suburbs across the United States, events in Canada, the UK, Japan, Italy, and other countries",,,,,,,,,,,,"House Minority Leader Nancy Pelosi, Senator Kirsten Gillibrand",,,,,,,,,,,2018 Women's March
,,,,,,,,,Over 1 billion people in more than 193 countries,,"April 22, 1970",,,,,,,,,,"John McConnell, Gaylord Nelson, Denis Hayes",Over 20 million participants in the first event,"United Auto Workers, instrumental in financial and operational support",,,,,,,,Earth Day
"Black Lives Matter movement, local community activists","Protest against police brutality and racism, support for the Black Lives Matter movement",,"Largest protests in U.S. history, sparked international demonstrations",Estimated 15-26 million participants in the U.S.,,Murder of George Floyd,,,,,,"Minneapolis, over 2,000 cities and towns in the U.S., 60 countries worldwide",,,,,,,,,,,,"May 26, 2020",,,,,,,George Floyd Protests
"March 25 Coalition of Catholic groups, immigration advocacy organizations, and labor unions","General amnesty and legalization programs for illegal aliens, demonstration of the labor importance of undocumented immigrants","May 1, 2006",,"Nationwide boycott of schools and businesses, international solidarity boycott",,2006 US immigration reform protests,"Violent turn at a Vista, California rally, arrests at a Los Angeles demonstration","Major cities across the United States, internationally in Mexico and Central American countries",,,,,,,,,,,,,,,,,"Peaceful demonstrations with isolated incidents of violence, little economic effect on the US, international solidarity boycott",,,,,,Great American Boycott
"Never Again MSD, Everytown for Gun Safety, MFOL Action Fund","Support for gun control legislation, universal background checks, raising age of gun ownership, banning assault weapons","March 24, 2018, June 11, 2022","One of the largest protests in American history, sparked national conversation on gun control","Over 880 sibling events, estimated 1.2 to 2 million participants","Washington, D.C., nationwide",,,,,,,,,,,,,,,,,,,,,,,,,,March for Our Lives
Scientists skeptical of the Trump administration's policies,"Celebrate science, emphasize its role in everyday life, call for evidence-based policy",,"Advocacy for nonpartisan support for science, evidence-based policymaking, government funding for research, transparency, and acceptance of scientific consensus",,,,,,Estimated 1.07 million attendees across 600 cities worldwide,,"April 22, 2017","Washington, D.C., Boston, Chicago, Los Angeles, San Francisco, Seattle, Phoenix, Berlin",,,,,,,,,,,,,,,,,,,March for Science
