Event Name,Establishment Year,Notable Competitors,Significant Details,Location,Duration,Notable Changes/Cancellations,Sponsor,Prize Money,Founders,Significant Changes/Milestones,Prize Trophy,Minimum Wave Height,Competition Window,Selection Process,Coordinates,Sponsors,World Qualification Series,trigger
World Surf League,2015,Professional surfers,"Governing body for professional surfers, created by IPS in 1976, ASP took over in 1983, rebranded as WSL in 2015, Sophie Goldschmidt appointed CEO in 2017",,,,,,"Fred Hemmings, Randy Rarick","Acquisition by ZoSea in 2013, Sophie Goldschmidt appointed CEO in 2017, exclusive digital broadcast deal with Facebook in 2018",,,,,,,,Association of Surfing Professionals
Australian Boardriders Battle,2013,Professional and amateur surfers,"National competition finals held in Newcastle, New South Wales since 2017, Fox Sports airs the event live, national finals of first three series held at Cronulla Beach in Sydney on Australia Day weekend",Various locations in Australia,Annually,National finals location changed to Newcastle in 2017,Surfing Australia,,,,,,,,,,,Australian Boardriders Battle
Australian Open of Surfing,2012,Men and women surf athletes from around the world,"Annual surf, skate, and music event, World Surf League sanctioned, inaugural event held in February 2012, event replaced the 'Malfunction' Surf Festival in 1984, largest WSL sanctioned longboard competition in Australia, held in March at Kingscliff, Tweed Heads, NSW","Manly Beach, Sydney, Australia",Nine days,"Event cancelled in 2018, not run in 2019 and 2020",IMG,,,,,,,,,,,Australian Open of Surfing
Rip Curl Pro,1961,Professional surfers,"Held since 1961, sponsored by Rip Curl since 1973, iconic 'Bell' trophy, ""Hells Bells"" by AC/DC played, cancelled in 2020 due to COVID-19, trophies presented by Doug 'Claw' Warbrick","Bells Beach, Victoria, Australia",Annually at Easter,2020 event cancelled due to COVID-19,Rip Curl,,,,'Bell' trophy,,,,,,,Bells Beach Surf Classic
Billabong Pipeline Masters,1971,"Top 34 surfers from WSL, 32 walk-on trial surfers","Annual event, sponsored by Billabong since 2007, 2020 event canceled due to COVID-19, 2020 Pipeline Masters served as opening event of 2020-21 season","Banzai Pipeline, Oahu, Hawaii","Final leg of Triple Crown of Surfing, final event on WSL Championship Tour",2020 event canceled due to COVID-19,Billabong,Varies,,,,,,,,,,Billabong Pipeline Masters
Duke Kahanamoku Invitational Surfing Championship,1965,"Duke Paoa Kahinu Mokoe Hulikohola Kahanamoku, Greg Noll, Fred Hemmings, Jeff Hakman, Clyde Aikau, Eddie Aikau","First surfing event broadcast on ABC's Wide World of Sports, winners received golden ""Duke"" statues, notable big-wave surfers, replaced by Billabong Pro in 1985","Sunset Beach, North Shore of Oʻahu",Invitation only,"Replaced by Billabong Pro in 1985, Duke Kahanamoku's death in 1968",,,,,,,,,,,,Duke Kahanamoku Invitational Surfing Championship
East Coast Surfing Championships,1963,Professional and amateur surfers,"Longest running surfing contest in the world, 58th annual competition held in 2020 with safety guidelines, includes men's and women's events, various beach sporting events, Beach Bum Classic triathlon, concerts on the beach","Virginia Beach, Virginia",Four days in late August,2020 event held amid the coronavirus pandemic with safety guidelines,,"Close to $40,000",,,,,,,,,,East Coast Surfing Championships
Ku Ikaika Challenge,2008,"Aaron Napoleon, Bonga Perkins, Jamie Sterling, Garrett McNamara, Raimana Van Bastolaer, Buzzy Kerbox, Chris Mauro, Kainoa McGee","Annual big-wave competition, first held on February 14, 2008, surf between 15 and 25 feet, organized by Brian Keaulana","Makaha Beach, Mākaha, Oahu, Hawaii",One day,,Quick Silver,"$4,000",,,,,,,,,,Ku Ikaika Challenge
Noosa Festival of Surfing,1992,Professional longboarders,"Established in 1992 as Noosa Malibu Classic, introduced professional division in 1996, renamed to Noosa Festival of Surfing in 1998, World Tandem Surfing Championships in 1999, Stand up paddle surfing added in 2007, ASL Longboard rated event, sponsored by Global Surf Industries, managed by USM Events","Noosa, Queensland",,,Global Surf Industries,,Noosa Malibu Club members,"Mixing of the Waters ceremony led by Brian Keaulana, Heart of Australian surfing in the late 50s and early 60s, Kevin Platt's influence on surfboard design, Trevor Hewston's innovations, perfect waves at Noosa",,,,,,,,Noosa Festival of Surfing
Pipeline Bodysurfing Classic,1971,"Mike Stewart, Mark Cunningham","First bodysurfing event at Pipeline, goals based on North Shore Expressive/Paipo bodysurfing event, open to men and women, adopted by North Shore Bodysurfing Club, denied permits in certain seasons, exclusive access to Pipeline","Banzai Pipeline, Oahu, Hawaii",Annual during winter season,Denied contest permits for multiple seasons,,,,,,,,,,,,Pipeline Bodysurfing Classic
The Eddie,1984,"Eddie Aikau, top big wave surfers","Big wave surfing tournament named after Eddie Aikau, requires 60-foot wave faces, held only nine times due to specific wave height criteria","Waimea Bay, Oahu, Hawaii",,,Quiksilver,,,,,60 feet,December 1 - Last day of February,Peer polling,,,,Quiksilver Big Wave Invitational
Quiksilver Pro Gold Coast,N/A,Professional surfers,"Surfing competition in the World Surf League, held at Coolangatta, Queensland, Australia, event canceled in August 2021","Coolangatta, Queensland, Australia",N/A,Event canceled in August 2021,Quiksilver,N/A,,,,,,,,,,Quiksilver Pro Gold Coast
Red Bull Big Wave Africa,1999,"Grant ""Twiggy"" Baker, competitors from the United States, Hawaii, Brazil, and South Africa","Annual competition held at ""Dungeons"" near The Sentinel, known for large Atlantic swells, 24 competitors in 2008, won by Grant ""Twiggy"" Baker","Cape Town, Western Cape, South Africa",24 July - 31 August,,,"R100,000",,,,,,,34°03′36″S 18°19′30″E,,,Red Bull Big Wave Africa
