Event Name,Location,Establishment Year,Annual Occurrence,Main Activities,Notable Details,Notable Anniversary,Notable Changes or Anniversaries,Founder,Changes Over the Years,Charitable Cause Supported,Changes or Notable Details,trigger
Boggy Bayou Mullet Festival,"Niceville, Florida",1977,Annual,"Music, food, rides, arts and crafts, named after local fish mullet","Festival founded by Walter Francis Spence Jr., attendance over 40,000, featured on TV shows",43rd & final in 2019,,Walter Francis Spence Jr.,"Alcohol not served on Sundays, decline in revenues and attendance, impacted by COVID-19 in 2020",,,Boggy Bayou Mullet Festival
Central Florida Peanut Festival,"Williston, Florida",1989,Annual,"Celebrating peanuts, cultural and historical event, held in October",Wikipedia stub for expansion opportunities,,Deferred to 2021 due to COVID-19,,,,,Central Florida Harvest and Peanut Festival
Epcot International Food & Wine Festival,"Bay Lake, Florida",1995,Annual,"Food and wine festival at Epcot, special kiosks around World Showcase, various country-themed food and drinks","George Kalogridis conceived the idea, first held in 1996, activities include concerts and demonstrations",-,,George Kalogridis,"Start date moved forward in recent years, special events require separate admission pass, changes in themes and sponsors",,,Epcot International Food & Wine Festival
Fellsmere Frog Leg Festival,"Fellsmere, Florida",1990,Annual,"City fundraiser, third week of January, increase funds for recreation department","Coordinates: 27°45′58″N 80°36′07″W, festival growth, benefit to Fellsmere city",-,Strict COVID-19 measures in place,Fran Adams,Festival dates have varied,,,Fellsmere Frog Leg Festival
Florida Seafood Festival,"Apalachicola, Florida",1964,Annual,"Parade, carnival, blue crab races, oyster eating contest, oyster shucking contest, road race, country music concert, arts and crafts, local seafood","Oldest seafood festival in the state, local non-profit groups serve seafood, 2010 Oyster Shucking Champion won National Championship",,No festival in 2020,,,,,Florida Seafood Festival
Florida Strawberry Festival,"Plant City, Florida",1930,Annual,,"Attendance of about half a million patrons, one of the best festivals in the US, Top 40 Fairs in North America",,Cancellations in 1942–47,Local Lions Club,"Strict measures in 2021, flea market-style craft and item sales, large midway, musical concert performances",,,Florida Strawberry Festival
South Beach Wine & Food Festival,"Miami Beach, Florida",-,Annual,"Showcasing wine, spirits, chefs, culinary personalities, dinners, wine seminars, tastings, demos, brunches, lunches, family events, fitness, late-night parties","Hosted by Florida International University, Wikipedia stub for expansion opportunities",,Moved to May in 2021,,,,,Food Network South Beach Wine and Food Festival
Isle of Eight Flags Shrimp Festival,"Fernandina Beach, Florida",1964,Annual,"Cooking and selling shrimp and seafood, arts and crafts, live music, Miss Shrimp Festival pageant, fireworks display, parade",,50th anniversary in 2013,,,,,"Festival originally referred to as Shrimp Boat Festival, held over first weekend in May, on hiatus since 2020 due to COVID-19 pandemic",Isle of Eight Flags Shrimp Festival
Kumquat Festival,"Dade City, Florida",1998,Annual,"Celebration of kumquats, marmalades, desserts, organized by Dade City Chamber of Commerce","Nearby St. Joseph known as kumquat capital of the world, moved to March in 2021 with COVID-19 measures",24th year in 2021,Festival moved to March in 2021,-,-,,,Kumquat Festival
Land o' Lakes Flapjack Festival,"Land o' Lakes, Florida",1976,Annual,"Parade floats, pageant, honorary mayor, pancake eating",Florida-related article stub on Wikipedia for expansion opportunities,,Superseded by Swampfest,,,,,Land o' Lakes Flapjack Festival
Naples Winter Wine Festival,"Naples, Florida",2001,Annual,"Multi-day charity wine festival, celebrity chef-hosted dinners, auction",Foundation has raised nearly $245 million for underprivileged and at-risk children in Collier County,-,,,,Naples Children & Education Foundation,,Naples Winter Wine Festival
Tallahassee Wine and Food Festival,"Tallahassee, Florida, United States",1995,Annual,"Wine dinner reception, wine dinner, celebrity chef, VIP reception at wine tasting, festival shoppe, wine auction, silent auction, press and media party, golf tournament, meélange market","Sponsored by insurance companies, local businesses, and media sponsors; Coordinates: 30°26′19″N 84°17′24″W",-,,,,March of Dimes,,Tallahassee Food Festival
Tallahassee Wine and Food Festival,"Tallahassee, Florida, United States",1995,Annual,"Wine dinner reception, wine dinner, celebrity chef, VIP reception at wine tasting, festival shoppe, wine auction, silent auction, press and media party, golf tournament, meélange market",,-,,,,March of Dimes,"Sponsored by insurance companies, local businesses, and media sponsors; Coordinates: 30°26′19″N 84°17′24″W",Tallahassee Wine and Food Festival
