Event Name,Founding Year,Significance,Location,Founders,Annual Occurrence,Historical Context,Attendance Numbers,Attendance Growth,Criticisms Faced,Impact on LGBTQ+ Community,Rentboy.com,International Escort Awards,Hustlaball,Attendance,Parade Route,Economic Impact,Special Decorations,Locations,Duration,Awards/Recognition,Winners,Representation at Mr. Gay World,trigger
Yangon Pride,2014,"Organized by <tgr>&PROUD</tgr>, includes LGBTIQ Film Festival, 'On The Road' programme, community space, mental health service, funded by international donors","Yangon, Myanmar","3 co-founders, Colors Rainbow",Annually in January,"Started in 2014, no large public LGBT events in Myanmar, same-sex relations illegal, first activity was a queer photo exhibition, film festival in 2014, government permission in 2018, name changed to Yangon Pride in 2019",,,,,,,,,,,,,,,,,&PROUD
Aarhus Pride,2012,"Largest Danish LGBT event outside Copenhagen, first held in 2012, managed by private individuals from the LGBT community, supported by city funds","Aarhus, Denmark","Private individuals from the LGBT community, city of Aarhus",Annually in June,"First event in 2012, attracts about 6,000 participants, parade through Latin Quarter, festival with sports, children's area, booths, and stage activities",,,,,,,,,,,,,,,,,Aarhus Pride
Abhimani Film Festival,2006,"Oldest LGBTIQ film festival in South Asia, only LGBTIQ film festival in Sri Lanka, screens local and international films, educates on LGBT issues","Colombo, Sri Lanka","Organizers, supporters",Annually in June,"Established in 2006, screens feature and short films, aims to educate on LGBT issues, begins on June 18, 2018",,,,,,,,,,,,,,,,,Abhimani Film Festival
AIDS Walk New York,1986,"Largest walkathon in the world benefiting AIDS service organizations, founded in 1986, raised $7.4 million in 2008, 45,000 participants, started at Lincoln Center","Central Park, New York City, USA","Gay Men's Health Crisis, local AIDS service organizations",Annually,"Inaugural event raised over $700,000 with 6,000 participants, significant growth in participants and funds raised over the years, notable participants and hosts, held annually in Central Park",,,,,,,,,,,,,,,,,AIDS Walk New York
Alternative Miss Ireland,1987,"Annual beauty pageant open to men, women, and animals, non-profit raising money for Irish HIV/AIDS organizations, features beauty pageant rounds, known as Gay Christmas","Dublin, Ireland","Panti, Irish HIV/AIDS organizations",Annually on the Sunday closest to St. Patrick's Day,"Started in 1987, inspired by Andrew Logan's Alternative Miss World, held in various venues including Sides nightclub, The Red Box, and Olympia Theatre, featured in Gay Community News magazine, fundraising for HIV/AIDS charities",,,,,,,,,,,,,,,,,Alternative Miss Ireland
Aomori International LGBT Film Festival,2006,"Focuses on diverse gender representations, held at Auga in Aomori city, started in 2006","Aomori Prefecture, Japan","Local organizers, supporters",Annually in July,"Annual event since 2006, showcases diverse gender representations, venue at Auga in Aomori city, specific dates for each year from 2006 to 2014",,,,,,,,,,,,,,,,,Aomori International LGBT Film Festival
LGBT Rights in Greece,Early 21st Century,"Legal recognition of same-sex unions, anti-discrimination laws, hate speech legislation, civil unions for same-sex couples, recognition of gender identity for transgender individuals, vibrant gay culture in cities like Athens and Thessaloniki",Greece,"Greek government, LGBT activists",Ongoing,"Evolution of LGBT rights in Greece, legal milestones, social acceptance, vibrant gay culture in major cities",,,,,,,,,,,,,,,,,Athens Pride
Atlanta Pride,1971,"One of the oldest and largest pride festivals in the US, attendance around 300,000, originally held in June, moved to October in 2008, commemorates Stonewall Riots","Atlanta, Georgia","Atlanta Pride Committee, local activists",Annually in October,"Established in 1971, began as a response to police raids on gay bars, inspired by Stonewall Riots, grew from a small protest march to a week-long festival",,,,,,,,,,,,,,,,,Atlanta Pride
Augusta Pride,2010,"Hosts pride parade and festival in downtown Augusta, two-day festival at Augusta Commons, started in 2010, features Beats on Broad concert, live music, vendors","Augusta, Georgia","Local organizers, supporters",Annually in June,"Two-day festival with parade and concert, started in 2010, significant LGBT event in Augusta, Georgia",,,,,,,,,,,,,,,,,Augusta Pride
Baltic Pride,2009,"Supports LGBT rights and tolerance, organized by Mozaīka, LGL Lithuanian Gay League, Estonian LGBT Association, supported by ILGA-Europe","Baltic states (rotating between Tallinn, Riga, Vilnius)","Mozaīka, LGL Lithuanian Gay League, Estonian LGBT Association",Annually,"First event in Latvia in 2005 as Riga Pride, faced political opposition, officially sanctioned after court intervention, led to founding of Mozaīka, expanded to Baltic Pride in 2009, rotates between capitals annually",,,,,,,,,,,,,,,,,Baltic Pride
Bangalore Queer Film Festival,2008,"Showcases queer films globally, provides platform for LGBT voices, fosters cinema collaborations, attracts large audience, hosts international filmmakers","Bangalore, India","Local organizers, supporters",Annually,"Established in 2008, cultural event in Bangalore, 6th edition in 2014, over 50 international films screened, panel discussions, cultural performances",,,,,,,,,,,,,,,,,Bangalore Queer Film Festival
Bangkok Gay and Lesbian Film Festival,2015,"Established by 'Attitude Magazine' staff in 2015, first LGBT Festival in Thailand, aims to provide a more realistic view of the LGBT community, 15 films from 12 countries in the first edition","Bangkok, Thailand",'Attitude Magazine' staff,Annually,"Magazine addresses LGBT interests in Thailand, seeks representation in wider society, launched due to acceptance of LGBT issues in Thai society, aims to combat stereotypes in media",,,,,,,,,,,,,,,,,Bangkok Gay and Lesbian Film Festival
Beijing Queer Film Festival,2001,"First LGBT film festival in mainland China, founded by Cui Zi'en, showcases international LGBT films with Chinese subtitles, promotes filmmakers from Chinese and Asian backgrounds","Beijing, China",Cui Zi'en,Annually,"Originated from Peking University, volunteer-run, not-for-profit event, challenges censorship laws in China, documentary made about its struggles",,,,,,,,,,,,,,,,,Beijing Queer Film Festival
Beirut Pride,2017,"Largest LGBTIQ+ event in the arabophone world, aims to decriminalize homosexuality in Lebanon, faced legal challenges, first edition in 2017 gathered 4,000 people","Beirut, Lebanon","Hadi Damien, LGBT NGOs",Annually,"First and only LGBTIQ+ pride event in the arabophone world, covered in multiple languages, faced legal challenges, online edition in 2020 due to COVID-19 restrictions and economic collapse in Beirut",,,,,,,,,,,,,,,,,Beirut Pride
Berlin Pride (CSD Berlin),1979,"One of the largest pride events in Germany and Europe, celebrates LGBTQ culture, commemorates Stonewall Riots, aims for equal rights, first event in 1979","Berlin, Germany","LGBTQ community, organizers, supporters",Annually in July,"First event in 1979, commemorates Stonewall Riots, attracts hundreds of thousands of attendees, part of month-long Pride Festival in Berlin",,,,,,,,,,,,,,,,,Berlin Pride
BFI Flare: London LGBTIQ+ Film Festival,1986,"Biggest LGBTIQ+ film festival in Europe, began in 1986 as 'Gay's Own Pictures', renamed in 1988, organized by British Film Institute, screenings at BFI Southbank","London, England","Peter Packer, British Film Institute",Annually in spring,"Started as a two-week festival, shortened to a week in 2011, increased to 10 days in 2012, name changed to BFI Flare in 2014, attendance increased in 2016",,,,,,,,,,,,,,,,,BFI Flare_ London LGBT Film Festival
Bhopal Pride March,2017,"Celebrated LGBTQ culture, first pride march in Madhya Pradesh, held on International Day Against Homophobia, Transphobia and Biphobia, events included panel discussions, music events, street plays, and art exhibition","Bhopal, Madhya Pradesh, India","Kokila Bhattacharya, LGBTQ community members, allies, NGOs, voluntary organizations",Once in 2017,"First pride march in Madhya Pradesh, funded through crowd funding, aimed for fundamental human rights and social acceptance, demanded establishment of welfare board for transgender/sexual minorities in Bhopal",,,,,,,,,,,,,,,,,Bhopal Pride March
