Pandemic Name,Time Period,Total Death Toll,Means of Transmission,Significant Impacts,Affected Regions,Initial Outbreak Location,Potential Origin,Potential Sources,Origin,Virus Subtype,Containment Measures,Potential Pathogen,Symptoms,Current Vaccines,'Other variants,Potential Factors,trigger
"Italian Plague of 1629–1631, Great Plague of Milan",1629–1631,"At least 280,000 deaths, estimates up to one million","Carried through Europe by troop movements, spread through Milan","Contributed to economic decline, high fatalities in Milan and Venice","Northern and central Italy, Lombardy, Venice, Bologna, Tyrol",,"Northern France in 1623, brought to Lombardy by soldiers",Troop movements during the War of the Mantuan Succession,,,,,,,,,1629–1631 Italian plague
"Persian Plague epidemic of 1772–1773, Persian Plague",1772–1773,Approximately 2 million deaths,"Bubonic plague, spread throughout the Persian Empire, reached Basra and Bahrain, extended to Bombay, India","Introduction of quarantine measures in the Persian Gulf regions, devastating outbreak, daily deaths recorded in the thousands","Persian Empire, Persian Gulf regions, Basra, Bahrain, Bombay, India","Baghdad, Persian Empire",,,,,"Imposed quarantine measures, positive effects seen by the end of 1773",,,,,,1772–1773 Persian Plague
Third cholera pandemic,1837 - 1863,"Over one million deaths in Russia, 10,000 deaths in London in 1853-54, 23,000 deaths in Great Britain in 1854","Contaminated water, identified by John Snow in London","High fatalities in Asia, Europe, Africa, and North America, John Snow's breakthrough in identifying water as the transmission source","Asia, Europe, Africa, North America",,,,"Originated in India, spread globally",,,,,,,,1846–1860 cholera pandemic
"1889–1890 pandemic, Asiatic flu, Russian flu",October 1889 - early 1895,Approximately 1 million deaths worldwide,Spread facilitated by modern transport infrastructure,"Among the deadliest pandemics in history, global spread, recurrences in subsequent years","Central Asia, European countries, Russian Empire, worldwide spread","Bukhara, Russian Empire",,,,,,Possibly caused by human coronavirus OC43,,,,,1889–1890 flu pandemic
"1957–1958 Asian flu pandemic, H2N2 influenza A virus",1957–1958,Estimated 1–4 million excess deaths globally,"Spread throughout China, later globally, initial cases in Guizhou and Yunnan","One of the deadliest pandemics in history, led to the Hong Kong flu pandemic, establishment of Chinese National Influenza Center","China, Hong Kong, global impact","Guizhou, China",,,"Guizhou, southern China",,,,,,,,1957–1958 influenza pandemic
735–737 Japanese smallpox epidemic,735–737,Approximately 1/3 of the entire Japanese population,"Carried by a Japanese fisherman from the Korean peninsula, spread rapidly throughout northern Kyushu, then to eastern Japan and Nara","Significant social, economic, and religious repercussions, poor agricultural yields, famine, tax exemption extended to all of Japan","Northern Kyushu, eastern Japan, Nara, entire Japan","Dazaifu, Fukuoka, Japan",,,,,,,,,,,735–737 Japanese smallpox epidemic
"Antonine Plague, Plague of Galen",165 - 180 AD,"Estimated 5–10 million deaths, 10% of the Roman Empire's population","Possibly contracted and spread by returning soldiers, smallpox or measles","Potentially claimed the life of Roman Emperor Lucius Verus, high death toll in cities and Roman army","Roman Empire, Gaul, legions along the Rhine, city of Rome","Seleucia, Mesopotamia",,,,,,"Smallpox, possibly measles",,,,,Antonine Plague
Black Death,1346–1353,75–200 million deaths globally,"Spread by fleas carrying Yersinia pestis, person-to-person pneumonic plague","Religious, social, and economic upheavals, profound effects on European history","Afro-Eurasia, Europe, North Africa, Middle East",,"Central or East Asia, first appearance in Crimea in 1347","Originated in Central or East Asia, spread through Mediterranean Basin, carried by fleas on black rats on Genoese ships",,,,,,,,,Black Death
"COVID-19 pandemic, coronavirus pandemic",December 2019 - Ongoing,Over 6.18 million deaths globally,"Airborne droplets and particles, contaminated surfaces","More than 500 million cases, one of the deadliest pandemics in history, global spread",,,,,,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),,,"Fever, dry cough, fatigue",Approved and distributed since December 2020,Mutations have produced many strains with varying degrees of infectivity and virulence,,COVID-19 pandemic
"Hong Kong flu, 1968 flu pandemic",1968-1969,Between 1-4 million deaths globally,"Descended from H2N2 through antigenic shift, first recorded in Hong Kong, possible origin in mainland China","Among the deadliest pandemics in history, low mortality rate, mild clinical symptoms","Global impact, particularly in Hong Kong, mainland China",British Hong Kong,,,,H3N2 influenza A virus,,,,,,,Hong Kong flu
