Date,Casualties,Perpetrator,Attack Method,Related Events,Location,Locations,13 July 2018,1 July 2018,11 July 2018,9 July 2018,12 July 2018,31 January 2016,21 February 2016,trigger
,,,,,,,"Suicide bomber Abu Bakar al-Pakistani (identified as Hafeez Nawaz) at Balochistan Awami Party rally for Siraj Raisani, one of the deadliest attacks in Pakistani history",Bombing at office of Pakistan Movement of Justice's candidate Malik Aurangjeb Khan,Bombing at election campaign of Muttahida Majlis-e-Amal's candidate Shein Malik,Suicide bombing at election rally of Awami National Party's leader Haroon Bilour,Balochistan Awami Party's office attacked with gunfire and bomb detonation,,,13 July 2018 Pakistan bombings
14 October 2017,"587 killed, 316 injured",Al-Shabaab (suspected),Truck bombings,"Deadliest terrorist attack in Somalia's history, second deadliest in African history, third deadliest bombing attack globally, two truck bombings in Hodan District, intended target secure compound, third explosives-laden truck captured, no official claim of responsibility, key member of cell implicates Al-Shabaab, Somali president declares three days of mourning, context of drought and food shortage in East Africa in 2011","Mogadishu, Somalia",,,,,,,,,14 October 2017 Mogadishu bombings
19 December 2016,"12 dead, 56 injured",Anis Amri,Vehicle-ramming,"Attack at Christmas market, Kaiser Wilhelm Memorial Church, Breitscheidplatz, truck driver Łukasz Urban found shot dead, truck stopped by automatic brakes, Amri killed in shootout near Milan, ISIS claim of responsibility, video of Amri pledging allegiance to Abu Bakr al-Baghdadi, heightened Islamist terrorist activity in Europe, similar attacks in 2016 linked to ISIS, Brussels bombings, Nice truck attack, Würzburg train stabbing, Ansbach music festival bombing, Normandy church attack","Berlin, Germany",,,,,,,,,2016 Berlin truck attack
22 March 2016,"32 civilians and 3 perpetrators killed, 300+ injured",Islamic State of Iraq and the Levant,Suicide bombings,"Coordinated terrorist attack, involvement of terrorist cell from Paris attacks, deadliest attack in Belgium since World War II, national mourning declared, Belgium's participation in military intervention against ISIL, warning of retaliatory attacks by ISIL leader, high number of Belgian fighters in Syria and Iraq, Belgium's challenges with security and intelligence agencies",,"Brussels, Belgium (Brussels Airport and Maalbeek metro station)",,,,,,,,2016 Brussels bombings
3 July 2016,"340 killed, hundreds injured",ISIL militants,Coordinated bomb attacks,"Suicide truck-bomb in Karrada district, roadside bomb in Sha'ab suburb, claim of responsibility by ISIL, arrest of Ghazwan al-Zawbaee, distraction from Fallujah battle, previous bombings in Baghdad, calls for increased attacks during Ramadan, use of refrigerator truck, aftermath of attacks","Baghdad, Iraq",,,,,,,,,2016 Karrada bombing
14 July 2016,"86 dead, 458 injured",Mohamed Lahouaiej-Bouhlel,Vehicle-ramming,"Bastille Day attack on Promenade des Anglais, Islamic State claim of responsibility, police shootout resulting in death of perpetrator, French President's response, extension of state of emergency, national mourning, arrests and charges of accomplices, Europol classification as jihadist terrorism","Nice, France",,,,,,,,,2016 Nice truck attack
15 April 2017,"At least 126 killed, including 80 children",Unknown,Car bomb detonation,"Car bomb near a convoy of buses carrying civilian evacuees from al-Fu'ah and Kafriya, part of an evacuation deal brokered by Syrian government, Iran, and Qatar, targeting Shia communities supported by the government, surrounded by rebel fighters, attack in al-Rashideen neighbourhood, buses guarded by rebel fighters, implementation by Syrian Arab Red Crescent, agreement to transport residents to different provinces, attack details and casualties","Aleppo, Syria",,,,,,,,,2017 Aleppo suicide car bombing
17 August 2017,"14 dead, at least 136 injured",Younes Abouyaaqoub and accomplices,"Vehicle-ramming, stabbing","Attack on La Rambla in Barcelona, second attack in Cambrils, explosion in Alcanar, police shootings, accidental detonation of gas canisters, Prime Minister's statement, Amaq News Agency attribution to Islamic State, deadliest attacks in Spain since 2004 Madrid train bombings and 1987 Hipercor bombing, death of Abouyaaqoub, conspiracy theory regarding intelligence service awareness","Barcelona, Catalonia, Spain",,,,,,,,,2017 Barcelona attacks
3 June 2017,"8 dead, 48 injured",Radical Islamic terrorists,"Vehicle-ramming, stabbing","Attack on London Bridge and Borough Market, perpetrators shot dead, fake explosive vests, Islamic State claim of responsibility, previous attacks in Westminster and Manchester, raised terror threat level in the UK","London, England",,,,,,,,,2017 London Bridge attack
24 November 2017,"311 killed, at least 128 injured",Approximately 40 gunmen,"Shooting, bombings, rocket-propelled grenades","Deadliest attack in Egyptian history, second-deadliest terrorist attack of 2017, targeted Sufi mosque during Friday prayers, condemned by world leaders, attackers used off-road vehicles, planted bombs, and ambushed ambulances","Al-Rawda mosque, Al-Rawda, Egypt",,,,,,,,,2017 Sinai mosque attack
