Date,Location,Casualties,Cause of Fire,Cause,Description,Building Description,Aftermath,Safety Violations,Causes,People Inside,Historical Significance,Criminal Involved,Number of Casualties,Criminal Charges,Occupancy,Background,Patrons Inside,Fire Outbreak,Construction Material,Suspect,Motive,Significance,Event,Warnings Issued,Fire Start Details,trigger
"September 1, 1972","Montreal, Quebec, Canada",,,Arson - Fire set on staircase,"The Blue Bird Café fire was a nightclub tragedy in Montreal, resulting in 37 deaths due to arson on the staircase that acted as the main entrance/exit for the Wagon Wheel bar patrons.",,,,,,,,37 deaths,,,,,,,,,,,,,Blue Bird Caf茅 fire
"November 1, 1970","Saint-Laurent-du-Pont, Isère, France",146 fatalities (mostly aged 17 to 30),,,,"Large, windowless structure with breeze block walls, corrugated iron roof, grottos made of polyurethane and papier-mâché, flammable decorations on pillars","Revealed shortcomings in fire safety, shock to the French nation, new safety measures implemented",,Carelessly discarded match igniting a foam-filled seat cushion,Approximately 180 people,,,,"Brought against some individuals, with some receiving suspended jail sentences",,,,,,,,,,,,Club Cinq-Sept fire
"November 28, 1942","Boston, Massachusetts, United States",492 lives,,,,,"Welansky held responsible, advancements in treatment of burn victims, blood banks, hospitals preparedness","Locked exit doors, flammable decorations, wartime shortage of freon in air-conditioning","Electrical short, methyl chloride in air conditioning unit",,"Second-deadliest single-building fire in U.S. history, led to new fire-safety laws for public establishments",,,,,,,,,,,,,,,Cocoanut Grove fire
16 August 1980,"18 Denmark Place, Central London",37 deaths,,Arson,"Two unlicensed bars (The Spanish Rooms and Rodo's/El Dandy), patrons primarily Spanish and Latin American, closed-off access, police awareness, fueling incident involving overcharging and perpetrator John Thompson",,,,,,,,,,,,,,,,,,,,,Denmark Place fire
"June 27, 2015","New Taipei City, Taiwan","508 injured, 15 dead, 199 critically injured",,Ignition of corn starch powder resulting in a dust fire,"Staff sprayed corn starch powder which ignited, leading to a dust fire that burned multiple attendees. The incident was initially misunderstood as an explosion due to the dispersal of the burning powder.",,,,,,,,,,,,,,,,,,,,,Formosa Fun Coast explosion
"March 25, 1990","1959 Southern Boulevard, West Farms section of the Bronx in New York City, United States",87 people killed,Arson,,,,,"Lack of fire exits, alarms, sprinkler system",,,Deadliest fire in New York City since Triangle Shirtwaist Factory fire in 1911; deadliest in American territory since Dupont Plaza Hotel fire in Puerto Rico in 1986,Julio González,,,,,,,,,,,,,,Happy Land fire
"March 18, 1996","Quezon City, Philippines",162 deaths,"Sparks in disco booth, electrical malfunction",,,,"Worst fire in Philippine history, significant casualties, legal repercussions","Blocked emergency exit, exit locked by guards",,,,,,,"Approved for 35, around 390 inside",,,,,,,,,,,Ozone Disco fire
14 February 1981,"Artane, Dublin, Ireland","48 deaths, 214 injured",Electrical fault in non-planning-permission-compliant storage room with flammable materials,,,"Former food factory converted into a nightclub with dance floor, stage, bars, and seating areas",,,,,,,,,,Converted from a food factory in 1948 by the Butterly family,Approximately 841 people,"Small fire observed initially, believed to have originated from an electrical fault",,,,,,,,Stardust fire
2 August 1973,"Douglas, Isle of Man","50 killed, 80 seriously injured",Started by three boys smoking in a disused kiosk with a carelessly discarded match or stub,,,"3.5 acres, 50,000 sq ft, 5 floors, cost of £2 million, designed for 10,000 tourists",,,,"Approximately 3,000 people",,,,,,,,,"Galbestos, Oroglas, plastic materials",,,,,,,Summerland disaster
"June 24, 1973","New Orleans, Louisiana, United States","32 killed, at least 15 injured","Officially listed as ""undetermined origin""",,,,,,,,,,,,,,,,,Roger Dale Nunez,No evidence found of homophobia,Deadliest known attack on a gay club in U.S. history until 2016 Orlando nightclub shooting,,,,UpStairs Lounge arson attack
"March 8, 1973","Whiskey Au Go Go, Brisbane, Australia",15,,,,,,,,,,John Andrew Stuart,,,,,,,,,,,Whiskey Au Go Go fire,"Threats made and verified, arson at empty club","Ignition of two petrol drums in the building's foyer, poor escape route",Whiskey Au Go Go fire
