Total Acres Burned,Wildfire Name,Start Date,Notable Events,Records/Rankings,Locations Affected,Containment Date,Structures Destroyed,Fatalities,Possible Cause,Total Fires,Structures Damaged/Destroyed,State of Emergency,Comparison to Previous Seasons,Notable Incidents,trigger
"1,032,648 acres",August Complex,"August 16, 2020","Originated from 38 separate fires caused by lightning strikes, main fire (Doe Fire) surpassed 2018 Mendocino Complex as largest wildfire in California history, merged with Elkhorn and Hopkins fires, burned within Mendocino National Forest, took almost three months to fully contain, managed as four separate incidents within a larger complex","Single-largest wildfire and largest fire complex in recorded California history, burned an area larger than the state of Rhode Island","Glenn, Lake, Mendocino, Tehama, Trinity, Shasta Counties, California","November 12, 2020",Not specified,Not specified,Lightning strikes,,,,,,August Complex Fire
"221,835 acres",Caldor Fire,"August 14, 2021","Second fire to cross Sierra Nevada mountain range in 2021, threatened Meyers and South Lake Tahoe, caused evacuations for over 20,000 people, third-largest and second-most-destructive wildfire of 2021 season in California, 15th-largest and 16th-most destructive in recorded California history","Third-largest and second-most-destructive wildfire of 2021 season in California, 15th-largest and 16th-most destructive in recorded California history","El Dorado, Amador, Alpine County, California","October 21, 2021","1,003 structures",,Under investigation,,,,,,Caldor Fire
"229,651 acres",Carr Fire,"July 23, 2018","Sixth-most destructive fire in California history, twelfth-largest wildfire in modern California history, cost over $1.659 billion in damages, destroyed multiple towns around Whiskeytown Lake, started by sparks from a vehicle's flat tire, jumped the Sacramento River into Redding, caused evacuations of 38,000 people, eight fatalities including three firefighters","Sixth-most destructive fire in California history, twelfth-largest wildfire in modern California history","Shasta and Trinity Counties, California","August 30, 2018","At least 1,604 structures destroyed, 277 damaged",8 people (including 3 firefighters),Sparks from a vehicle's flat tire,,,,,,Carr Fire
"273,246 acres",Cedar Fire,October 2003,"Rapid spread driven by Santa Ana winds, destructive nature, hotspots burned until December 5, 2003, one of the largest wildfires in California history, fifth deadliest and fourth-most destructive wildfire in state history, caused over $1.3 billion in damages",Eighth-largest wildfire in California's modern history,"San Diego County, California","November 4, 2003","2,820 buildings",15 people (including one firefighter),Santa Ana winds,,,,,,Cedar Fire
"379,895 acres",Creek Fire,"September 4, 2020","Fifth-largest wildfire in modern California history, second-largest single fire not part of a greater complex, necessitated rescue of hundreds of people by National Guard helicopters, evacuations in various California towns, creation of a pyrocumulonimbus cloud, characterized as a plume-dominated blaze with extreme fire behavior and fire tornadoes observed","Fifth-largest wildfire in modern California history, second-largest single fire not part of a greater complex","Sierra National Forest, California","December 24, 2020",At least 856 buildings,,Not specified,,,,,,Creek Fire (2020)
"963,309 acres",Dixie Fire,"July 13, 2021","Largest single wildfire in recorded California history, second-largest wildfire overall, damaged or destroyed towns like Greenville, Canyondam, Warner Valley, first fire to burn across Sierra Nevada crest, caused unhealthy air quality across Western US, most expensive US wildfire at $637.4 million, possibly started by PG&E equipment","Largest single wildfire in recorded California history, second-largest wildfire overall","Butte, Plumas, Lassen, Shasta, Tehama Counties, California","October 25, 2021",Not specified,Not specified,Possibly started by PG&E equipment,,,,,,Dixie Fire
"192,038 acres",Klamath Theater Complex Fire,"June 21, 2008","Largest wildfire of the 2008 California wildfire season, originated as 11 separate wildfires before merging into a single massive complex fire, lasted over 3 months, progenitor fires caused by lightning, 10th largest fire in modern California history, two firefighters killed",10th largest fire in modern California history,,,,,,,,,,,Klamath Theater Complex Fire
"363,220 acres",LNU Lightning Complex fires,"August 17, 2020","Complex of numerous lightning-sparked fires, Hennessey Fire merged with other fires, burned in Wine Country area, destroyed 1,491 structures, fourth-largest wildfire in California history",Fourth-largest wildfire in California history,"Lake, Napa, Sonoma, Solano, Yolo Counties, California","October 2, 2020","1,491 structures",6 people killed,,,,,,,LNU Lightning Complex Fire
"Nearly 220,000 acres",Matilija Fire,Autumn of 1932,"Named for Matilija Creek, one of the largest known wildfires in California history until the 2003 Cedar Fire, currently the fourteenth-largest in the state's modern history, area had not seen a major fire since at least 1911, severe drought conditions prior to 1932, started near Ojai, possible causes include a hunter's campfire or an exploding tank of butane gas","One of the largest known wildfires in California history until the 2003 Cedar Fire, currently the fourteenth-largest in the state's modern history","Santa Barbara National Forest, Southern California",,,,,,,,,,Matilija Fire
"459,123 acres",Mendocino Complex Fire,"July 27, 2018","Consisted of River Fire and Ranch Fire, Ranch Fire was California's single-largest recorded wildfire at the time, Ranch Fire burned 410,203 acres, collectively contained on January 4, 2019, destroyed 280 structures, caused at least $257 million in damages","Ranch Fire was California's single-largest recorded wildfire at the time, surpassed previous largest wildfires in California history","Mendocino, Lake, Colusa, Glenn Counties, California","September 18, 2018","280 structures destroyed, 37 structures damaged",,,,,,,,Mendocino Complex Fire
"223,124 acres",Monument Fire,"July 30, 2021","Started by lightning strike, evacuation orders for multiple communities, Highway 299 closure, fire scar of 2008 Cedar Fire, spot fires established on north side of Trinity River, power lines de-energized by PG&E",,"Big Flat, Big Bar, Del Loma, Cedar Flat, Trinity County, California","October 27, 2021",4 structures (including 3 homes),,,,,,,,Monument Fire
"318,935 acres",North Complex Fire,"August 17, 2020","21 fires started by lightning, towns of Berry Creek and Feather Falls leveled, city of Oroville threatened, 16 fatalities, managed by U.S. Forest Service and Cal Fire, deadliest fire in the 2020 California wildfire season",Sixth-largest wildfire in California's modern history,"Plumas National Forest, Northern California","December 3, 2020",Not specified,16 people,,,,,,,North Complex Fire
"257,314 acres",Rim Fire,"August 17, 2013","Second-largest wildfire in California's history, fifth-largest modern wildfire in California as of 2018, largest wildfire on record in the Sierra Nevada mountain range, fully contained on October 24, 2013, caused by a hunter's illegal fire near the Rim of the World vista point, suppression efforts cost over $127 million, 11 residences, 3 commercial structures, and 98 outbuildings destroyed, 10 injuries reported, no fatalities","Second-largest wildfire in California's history, largest wildfire on record in the Sierra Nevada mountain range","Stanislaus National Forest, Tuolumne and Mariposa counties, California","October 24, 2013","11 residences, 3 commercial structures, 98 outbuildings",None,Hunter's illegal fire,,,,,,Rim Fire
"893,362 acres",,,,,,,,7 fatalities,,"8,745 fires","3,159 structures","Declared by Governor Jerry Brown on September 11, 2015","Most destructive fire season since 2011, surpassed 2014 land area burned","Firefighter deaths due to carbon monoxide poisoning and falling tree, civilian death in Valley Fire",River Complex Fire
"315,577 acres",Rush Fire,Mid-August 2012,"Largest wildfire of the 2012 California wildfire season, second-largest wildfire in California since 1932 at the time, surpassed by the Thomas Fire in 2017 and Ranch Fire in the Mendocino Complex Fire in 2018, destroyed habitat for greater sage-grouse and a single barn",Second-largest wildfire in California since 1932 at the time,"Lassen County, California; Washoe County, Nevada",,,,,,,,,,Rush Fire
"At least 300,000 acres",Santiago Canyon Fire,Last week of September 1889,"Massive wildfire in California, burned parts of Orange, Riverside, and San Diego Counties, possibly the largest wildfire in California until 2018, severe drought conditions, katabatic wind events, high temperatures, multiple significant fires in the region",Possibly the largest wildfire in California until 2018,,,,,,,,,,,Santiago Canyon Fire
"393,624 acres",SCU Lightning Complex fires,"August 16, 2020","Fourth-largest overall wildfire in California's modern history, consisted of fires in multiple counties, reached Lick Observatory, fully contained on October 1, 2020",Fourth-largest overall wildfire in California's modern history,"Diablo Range in California, Santa Clara, Alameda, Contra Costa, San Joaquin, Merced, Stanislaus Counties","October 1, 2020","222 structures destroyed, 26 structures damaged",,,,,,,,SCU Lightning Complex Fire
"281,893 acres",Thomas Fire,"December 4, 2017","Largest wildfire in modern California history at the time, seventh-largest wildfire in modern California history as of 2021, officially declared out on June 1, 2018, destroyed at least 1,063 structures, caused over $2.2 billion in damages, seventh-most destructive wildfire in state history at the time, tenth-most destructive wildfire in California as of August 2020, Ventura's agriculture industry suffered at least $171 million in losses, cost over $204 million to fight by January 2, 2018, forced over 104,607 residents to evacuate, over 8,500 firefighters mobilized to fight it, began north of Santa Paula, near Steckel Park and south of Thomas Aquinas College, reached the city of Ventura, destroyed over five hundred residences in Ventura, threatened the Ojai Valley, completely surrounded the area including Lake Casitas","Seventh-largest wildfire in modern California history as of 2021, tenth-most destructive wildfire in California as of August 2020","Ventura and Santa Barbara Counties, California","January 12, 2018","At least 1,063 structures",Not specified,Not specified,,,,,,Thomas Fire
"247,800 acres",Witch Creek Fire,October 2007,"Second-largest wildfire of the 2007 California wildfire season, largest of the October 2007 California wildfires, merged with Poomacha and McCoy Fires, rapid spread due to Santa Ana winds, led to mass evacuations of 500,000 people, contributed to the largest evacuation in California history","Largest complex fire of 2007, exhibited characteristics of a firestorm, led to 1,000,000 residents evacuating","Santa Ysabel, San Diego County, California",,,,,,,,,,Witch Fire
"240,207 acres",Zaca Fire,"July 4, 2007","Second-largest fire in California history at the time, tenth-largest recorded fire in modern California history as of 2020, caused by sparks from a grinding machine, primarily burned in San Rafael Mountains, contained on October 29, 2007","Second-largest fire in California history at the time, tenth-largest recorded fire in modern California history as of 2020","San Rafael Mountains, Santa Barbara County, California","September 4, 2007",One Forest Service outbuilding,"43 non-fatal injuries, 2 from a helicopter crash",Sparks from a grinding machine,,,,,,Zaca Fire
