Date,Location,Trigger Event,Impact,Casualties,Notable Incidents,Response from Authorities,Duration,Involvement,Historical Context,Demographics,Significance,Involvement of Protesters,Contributing Factors,Parties Involved,Locations Affected,Organizations Involved,Leaders,Dates,Trigger Events,Arrests,Property Damage,Aftermath,Economic Impact,Legal Proceedings,Response from Immigrants,Racial Tensions,Dr. Martin Luther King Jr.,trigger
Summer of 1905,"Chicago, Illinois","Sympathy strike and lockout by the United Brotherhood of Teamsters, supported by various unions in the city","Second-most deadly labor dispute in 20th-century American history, weakened public support for unions","21 killed, 416 injured",,,103 days,,,,"Important strike in early 20th-century American history, highlighted violence and inter-union solidarity",,,"Teamsters, Employers' Association of Chicago",,,,,,,,,,,,,,1905 Chicago teamsters' strike
"July 12-15, 1966","West Side of Chicago, Illinois","Arrest of a man wanted for armed robbery, subsequent unrest and looting by black residents",Subsided violence after National Guardsmen arrival,"Seven policemen wounded, property damage","Looting, burning of stores, attacks on police","Deployment of 1,200 National Guardsmen",,,,,,Black residents of the West Side,,,,,,,,,,,,,,,,1966 Chicago West Side Riots
1968,,Assassination of Martin Luther King Jr.,"Severe damage, 3 miles of destruction in Chicago","39 dead nationwide, 11 dead in Chicago, 48 wounded by police gunfire, 90 policemen injured, 2,150 arrested","34 of the 39 dead were black, 100+ cities experienced disturbances, $50 million in damage nationwide","Aggressive response, 48 hours of rioting in Chicago",More than 48 hours in Chicago,,,,,,,,Major cities across the United States,,,,,,,,,,,,,1968 Chicago riots
August 1968,"Chicago, Illinois","Protest activity against the Vietnam War, planning by counterculture and anti-war groups",,,"Indiscriminate police violence, iconic chant ""The whole world is watching""","Chicago Police Department's actions, described as a ""police riot""",,,,,,,,,,National Mobilization Committee to End the War in Vietnam (MOBE),"David Dellinger, Rennie Davis, Tom Hayden",,,,,,,,,,,1968 Democratic National Convention protest activity
"March 11, 2016","University of Illinois Chicago, Chicago, Illinois",Cancellation of Trump rally due to safety concerns from protesters,"Rally canceled, safety concerns, protests organized via social media",,"Scuffles between Trump supporters and anti-Trump protesters, shouting",Trump campaign canceled rally citing safety concerns,,,,,,Thousands of anti-Trump demonstrators inside and outside the rally,,,,,,,,,,,,,,,,2016 Donald Trump Chicago rally protest
1946,"West Lawn and West Elsdon neighborhoods, Chicago, Illinois",Intimidation and violence against black war veterans and their families in the Airport Homes housing project,"Increased opposition to public housing, racial tensions",,"Riots during working hours, intimidation tactics","Limited intervention, lack of detailed media coverage",,,,"White residents, black war veterans and families",,,,,,,,,,,,,,,,,,Airport Homes race riots
1916-1921,"19th Ward, Chicago, Illinois","Political struggle for control over the 19th Ward between Johnny ""de Pow"" Powers and Anthony D'Andrea","Series of murders and violent rioting, power struggle in Little Italy",Over 30 reported deaths,,,Five years,"Johnny ""de Pow"" Powers, Anthony D'Andrea, supporters from both sides","Corruption, criminal elements, political power dynamics in Chicago",,,,,,,,,,,,,,,,,,,Aldermen's wars
,"Chicago, Illinois",,,"200 civilians and 95 police officers injured, no fatalities reported","Two teenagers injured by stray bullets, liquor store clerk severely burnt, looting in impoverished neighborhoods, speculation on targeted stores",,,,,,,,,,,,,"June 12, 1991; June 14, 1992","Chicago Bulls winning NBA Championships in 1991 and 1992, victory rallies, scattered incidents of looting and shootings","Over 1,000 arrests made","61 police vehicles damaged, 347 stores looted",,,,,,,Chicago Bulls Championship riots
"July 27 - August 3, 1919","South Side of Chicago, Illinois",White Americans' violence against black Americans,"Considered the worst riot of the Red Summer, economic repercussions","38 dead, 537 injured, 1,000-2,000 displaced",,,One week,"White Americans, black Americans, police","Red Summer of 1919, Great Migration, World War I",,,,"Racism, economic slump, social changes, Great Migration",,,,,,,,,,,,,,,Chicago race riot of 1919
"July 26, 1877","Chicago, Illinois",Work stoppages and civil unrest in Chicago as part of the Great Railroad Strike of 1877,"Nationwide strikes, violent clashes, economic repercussions","14 to 30 rioters dead or dying, 35 to 100 civilians wounded, 9 to 13 policemen wounded",,,,,"Long Depression, Panic of 1873, economic impacts on US industry",,,,,,,,,,,,,,,,,,,Chicago railroad strike of 1877
"October 8-11, 1969","Chicago, Illinois","National Action organized by Weatherman faction of SDS, ""bring the war home"" slogan","Violent actions, tensions within SDS, differences between factions",,"Resignation of RYM II leader, promotion of demonstration, accusations and responses",,Three days,"Students for a Democratic Society, Weatherman faction, law enforcement",,,,,,,,,,,,,,,,,,,,Days of Rage
